MIN,NY,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,34,1-3,0-0,2-4,3,4,7,0,0,0,0,4,4,0
A. EdwardsA. EdwardsSF,39,8-17,2-9,3-4,0,3,3,3,2,0,4,3,21,+8
K. TownsK. TownsC,36,6-12,2-4,6-7,1,4,5,3,1,0,2,4,20,-3
P. BeverleyP. BeverleyPG,30,2-7,1-4,2-4,1,4,5,6,3,1,1,5,7,+6
D. RussellD. RussellPG,25,5-11,4-8,3-3,0,2,2,4,1,1,3,4,17,-10
T. PrinceT. PrincePF,4,0-1,0-1,2-2,0,1,1,0,1,0,1,0,2,-2
J. McDanielsJ. McDanielsPF,19,3-8,0-5,2-4,0,3,3,0,1,2,1,4,8,-5
N. ReidN. ReidC,12,1-2,1-2,6-6,2,1,3,2,0,2,0,0,9,+5
M. BeasleyM. BeasleySG,17,4-8,2-4,0-0,0,3,3,0,0,0,0,0,10,+7
J. NowellJ. NowellSG,23,5-12,1-4,3-4,1,5,6,3,1,0,0,1,14,+4
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,39,6-15,0-4,9-11,2,7,9,9,2,4,3,4,21,+9
M. RobinsonM. RobinsonC,20,4-5,0-0,0-0,2,4,6,0,0,0,0,6,8,0
K. WalkerK. WalkerPG,30,6-13,4-8,3-5,0,2,2,4,0,0,1,2,19,+7
E. FournierE. FournierSG,37,10-17,5-10,2-2,0,4,4,4,2,1,2,3,27,+11
R. BarrettR. BarrettSG,37,6-16,2-7,3-6,2,4,6,2,0,0,7,4,17,-4
O. ToppinO. ToppinPF,9,1-3,0-2,2-2,1,3,4,1,0,0,1,0,4,-11
T. GibsonT. GibsonC,25,2-3,0-0,1-2,2,2,4,0,1,2,1,6,5,+2
A. BurksA. BurksSG,17,0-3,0-3,0-0,1,3,4,0,0,0,2,2,0,-5
I. QuickleyI. QuickleySG,9,1-2,1-2,3-4,0,3,3,1,0,0,1,0,6,-12
Q. GrimesQ. GrimesSG,17,1-3,0-2,1-1,1,1,2,0,1,0,0,3,3,-7
