MEM,MIL,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,31,9-20,2-6,9-10,1,8,9,1,0,4,4,5,29,-17
S. AdamsS. AdamsC,26,2-8,0-0,0-4,8,3,11,2,2,0,1,2,4,+5
J. MorantJ. MorantPG,39,12-27,4-10,5-5,1,7,8,14,0,0,1,3,33,0
J. KoncharJ. KoncharSG,32,3-8,0-4,0-0,2,5,7,3,1,2,1,1,6,-23
Z. WilliamsZ. WilliamsSG,33,4-11,1-7,1-1,0,1,1,1,1,0,0,1,10,-1
B. ClarkeB. ClarkePF,26,6-9,0-1,2-3,1,3,4,1,2,2,0,0,14,0
S. AldamaS. AldamaPF,13,3-7,0-3,0-0,1,2,3,0,0,0,0,0,6,-11
X. TillmanX. TillmanC,6,1-1,0-0,0-0,0,1,1,1,0,0,0,0,2,-11
D. MeltonD. MeltonSG,17,2-7,1-6,0-2,0,1,1,1,2,0,1,4,5,+9
J. CulverJ. CulverG,16,2-8,1-3,0-0,2,0,2,2,2,0,1,4,5,-11
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,31,12-25,2-4,7-8,3,12,15,7,2,1,5,6,33,+10
K. MiddletonK. MiddletonSF,36,10-18,1-6,6-6,0,7,7,7,0,1,1,3,27,+5
B. PortisB. PortisC,32,6-12,2-4,0-0,4,6,10,1,1,2,2,2,14,+7
G. HillG. HillPG,30,5-7,2-4,2-2,0,6,6,6,1,0,0,1,14,+16
G. AllenG. AllenSG,26,3-8,1-5,2-2,1,2,3,0,1,0,1,1,9,+6
J. HolidayJ. HolidayPG,22,2-8,1-3,4-4,2,3,5,4,0,0,3,3,9,-3
W. MatthewsW. MatthewsSG,19,3-5,1-3,0-0,0,1,1,1,0,0,1,2,7,+13
P. ConnaughtonP. ConnaughtonSG,26,5-9,3-5,0-0,2,2,4,1,1,0,1,2,13,+1
D. DiVincenzoD. DiVincenzoSG,19,0-5,0-3,0-0,1,4,5,2,1,2,1,1,0,+5
