DET,SAC,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,34,10-18,5-9,5-5,1,6,7,3,1,0,1,3,30,+1
I. StewartI. StewartC,21,3-7,0-0,1-2,3,3,6,4,0,1,2,4,7,-13
C. JosephC. JosephPG,37,6-12,2-4,5-6,1,3,4,9,0,1,1,1,19,+16
C. CunninghamC. CunninghamPG,21,4-8,1-2,4-5,0,1,1,0,0,0,1,6,13,-24
H. DialloH. DialloSG,27,4-5,0-1,1-2,0,3,3,3,0,0,0,4,9,-4
K. OlynykK. OlynykPF,22,8-17,2-7,4-4,4,5,9,5,1,1,1,2,22,+27
T. LylesT. LylesPF,19,3-9,1-4,2-2,1,5,6,0,0,1,0,3,9,-11
S. LeeS. LeePG,7,0-0,0-0,2-2,0,0,0,0,0,0,1,0,2,-10
J. JacksonJ. JacksonSG,20,2-5,1-3,2-2,0,1,1,1,0,2,0,1,7,+8
R. McGruderR. McGruderG,32,6-10,3-6,0-0,3,1,4,2,1,0,1,2,15,+20
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,25,7-9,1-1,2-3,1,8,9,0,0,1,0,1,17,+7
H. BarnesH. BarnesSF,34,4-10,1-4,11-14,0,2,2,0,0,0,1,2,20,-13
R. HolmesR. HolmesC,28,4-5,0-0,2-4,1,2,3,0,1,4,0,4,10,+19
D. FoxD. FoxPG,37,10-20,0-3,7-8,0,6,6,8,1,0,2,3,27,0
T. DavisT. DavisSG,38,11-23,7-13,6-7,2,4,6,3,1,1,0,3,35,+11
C. MetuC. MetuPF,21,1-2,0-0,1-4,0,4,4,3,0,0,0,0,3,-8
D. JonesD. JonesC,15,2-4,0-0,0-0,2,1,3,2,1,1,1,1,4,-18
D. MitchellD. MitchellPG,24,5-9,3-4,0-2,1,0,1,4,0,1,1,1,13,+5
B. HieldB. HieldSG,19,0-2,0-2,2-2,1,0,1,2,0,0,2,2,2,-13
