PHX,DAL,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,33,4-9,3-6,2-2,0,3,3,0,2,0,1,3,13,+11
M. BridgesM. BridgesSF,37,5-11,0-4,2-2,2,6,8,6,4,0,0,1,12,+19
J. McGeeJ. McGeeC,18,3-5,0-0,2-2,1,3,4,0,0,0,2,3,8,-1
C. PaulC. PaulPG,37,8-14,2-6,2-2,0,5,5,11,2,1,0,3,20,+24
D. BookerD. BookerSG,38,11-25,1-8,5-5,0,5,5,6,0,0,2,2,28,+5
C. JohnsonC. JohnsonSF,20,2-7,1-6,2-2,0,7,7,1,1,0,0,2,7,-14
B. BiyomboB. BiyomboC,28,2-3,0-0,5-7,2,2,4,1,2,0,2,3,9,+13
C. PayneC. PaynePG,19,4-10,1-4,3-3,0,3,3,0,1,0,0,1,12,-7
L. ShametL. ShametSG,10,0-2,0-2,0-0,0,1,1,0,1,0,0,3,0,-10
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,32,2-6,1-5,0-0,1,5,6,2,0,0,1,4,5,-10
M. KleberM. KleberPF,27,3-9,1-7,2-2,1,4,5,4,0,1,2,2,9,-10
K. PorzingisK. PorzingisC,32,7-15,2-4,2-2,2,9,11,1,0,2,1,5,18,-2
J. BrunsonJ. BrunsonPG,35,8-13,1-2,2-2,2,3,5,1,0,0,6,3,19,-16
L. DoncicL. DoncicPG,38,9-23,2-9,8-11,1,7,8,8,1,0,8,1,28,-7
T. Hardaway Jr.T. Hardaway Jr.SF,28,4-10,3-7,0-0,0,5,5,1,0,0,0,3,11,-6
R. BullockR. BullockSF,20,1-3,1-3,0-0,1,5,6,1,0,0,0,1,3,+3
D. PowellD. PowellC,14,2-3,0-0,2-3,2,1,3,0,0,0,1,1,6,-2
F. NtilikinaF. NtilikinaPG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,+4
J. GreenJ. GreenSG,11,1-3,0-0,0-0,0,1,1,1,0,0,0,1,2,+6
