LAL,ORL,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. JamesL. JamesSF,34,12-23,2-7,3-3,1,6,7,5,1,1,6,3,29,+5
T. ArizaT. ArizaSF,25,2-5,1-4,0-0,0,3,3,2,1,0,0,0,5,+20
D. HowardD. HowardC,13,1-3,0-0,2-2,2,2,4,0,0,0,3,5,4,+3
R. WestbrookR. WestbrookPG,35,8-17,0-1,2-2,2,9,11,7,3,0,3,3,18,+11
A. BradleyA. BradleyPG,20,3-4,2-3,1-1,1,3,4,3,2,0,1,3,9,+4
C. AnthonyC. AnthonyPF,17,8-13,4-5,3-3,1,2,3,0,0,1,0,2,23,+5
S. JohnsonS. JohnsonPF,22,3-5,3-4,2-4,1,4,5,2,1,1,2,0,11,+9
M. MonkM. MonkSG,31,4-9,1-2,1-2,0,4,4,2,2,0,3,4,10,+2
A. ReavesA. ReavesSG,23,0-2,0-2,5-6,0,3,3,0,1,0,0,1,5,+3
T. Horton-TuckerT. Horton-TuckerSG,20,1-4,0-2,0-0,0,1,1,2,1,1,0,3,2,-7
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,38,6-9,1-1,2-2,0,3,3,3,0,2,2,3,15,-9
M. BambaM. BambaC,25,3-7,1-4,4-4,3,5,8,0,1,2,1,4,11,-26
C. AnthonyC. AnthonyPG,28,2-9,0-4,0-2,0,4,4,2,0,2,3,3,4,-28
G. HarrisG. HarrisSG,39,5-11,2-6,1-1,0,4,4,2,0,0,1,2,13,-12
J. SuggsJ. SuggsSG,35,6-16,1-7,9-10,0,4,4,9,2,2,6,3,22,-4
C. OkekeC. OkekePF,31,4-11,3-10,0-0,0,6,6,1,1,0,1,2,11,+8
A. SchofieldA. SchofieldSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
I. BrazdeikisI. BrazdeikisSF,10,3-4,1-2,1-2,0,0,0,1,1,0,1,3,8,-7
M. WagnerM. WagnerC,5,0-1,0-1,0-0,0,0,0,3,0,0,0,0,0,-7
W. Carter Jr.W. Carter Jr.C,19,6-10,2-4,5-8,0,5,5,1,1,1,1,0,19,+18
T. RossT. RossSG,9,1-3,0-1,0-0,0,1,1,1,0,0,1,1,2,+10
