LAC,PHI,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,30,6-9,3-5,0-0,2,5,7,3,2,0,0,4,15,+3
M. Morris Sr.M. Morris Sr.SF,30,4-11,2-3,2-4,0,9,9,1,1,0,2,2,12,+3
I. ZubacI. ZubacC,24,6-8,0-0,0-0,2,8,10,1,0,0,1,3,12,0
R. JacksonR. JacksonPG,29,8-14,1-2,2-2,1,2,3,9,0,0,4,1,19,+10
A. CoffeyA. CoffeySG,34,4-10,2-7,2-2,1,2,3,0,0,0,0,2,12,+6
S. IbakaS. IbakaC,6,1-4,0-2,0-0,0,1,1,0,0,0,0,0,2,+1
I. HartensteinI. HartensteinC,16,4-6,0-0,2-3,2,1,3,1,0,0,1,4,10,0
E. BledsoeE. BledsoeSG,19,3-7,1-3,1-2,1,1,2,4,2,0,1,1,8,-9
T. MannT. MannSG,18,0-5,0-3,2-2,1,5,6,0,0,0,1,1,2,-4
L. KennardL. KennardSG,21,4-9,2-6,0-0,0,2,2,1,0,0,0,1,10,-2
B. Boston Jr.B. Boston Jr.SG,14,0-4,0-1,0-0,0,3,3,1,0,0,0,2,0,-3
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,40,8-17,1-2,3-5,0,7,7,4,3,1,0,2,20,-7
J. EmbiidJ. EmbiidC,37,15-25,3-3,7-10,5,8,13,6,0,1,5,4,40,-6
T. MaxeyT. MaxeyPG,46,7-18,3-6,2-2,0,2,2,8,0,0,0,1,19,-1
F. KorkmazF. KorkmazSG,39,2-7,1-6,0-0,0,0,0,3,1,0,0,2,5,+13
I. JoeI. JoeSG,15,1-4,1-4,0-0,0,0,0,0,1,0,0,0,3,-15
G. NiangG. NiangSF,30,3-11,1-7,0-0,0,4,4,1,1,0,0,4,7,-14
A. DrummondA. DrummondC,11,2-5,0-0,1-2,4,7,11,1,0,1,2,1,5,+5
C. Brown Jr.C. Brown Jr.G,22,0-4,0-0,2-2,4,3,7,0,1,0,0,3,2,+20
