MIA,ATL,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,8,1-3,0-2,0-0,1,2,3,0,1,0,0,0,2,+1
J. ButlerJ. ButlerSF,36,5-14,1-3,2-2,1,7,8,8,2,0,2,1,13,+2
B. AdebayoB. AdebayoC,34,7-13,0-0,7-7,1,5,6,5,1,1,3,3,21,+8
G. VincentG. VincentPG,38,5-9,4-7,0-0,0,2,2,9,0,0,3,6,14,-10
D. RobinsonD. RobinsonSG,30,6-11,5-10,2-3,1,0,1,3,0,0,3,5,19,+11
C. MartinC. MartinSF,28,5-10,1-5,0-0,1,2,3,0,4,0,2,3,11,-9
D. DedmonD. DedmonC,14,2-3,0-0,0-0,3,3,6,1,0,0,0,0,4,-10
O. YurtsevenO. YurtsevenC,7,2-2,0-0,0-0,1,1,2,0,0,0,1,2,4,-4
K. GuyK. GuySG,12,2-4,1-3,0-0,0,0,0,0,0,0,0,0,5,0
M. StrusM. StrusSG,33,6-16,3-10,0-0,2,0,2,4,0,0,1,2,15,+1
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,24,6-8,1-2,2-2,1,6,7,2,0,0,0,5,15,+3
O. OkongwuO. OkongwuPF,25,2-3,0-0,2-2,4,0,4,1,0,1,3,3,6,-6
D. HunterD. HunterSF,35,5-11,1-5,2-3,0,10,10,3,1,0,3,3,13,-9
T. YoungT. YoungPG,36,6-15,4-11,12-15,0,3,3,7,1,0,8,1,28,-2
K. HuerterK. HuerterSG,36,8-13,5-9,0-0,0,2,2,4,0,0,1,0,21,+3
K. Knox IIK. Knox IIF,15,1-2,1-2,0-0,0,1,1,0,0,0,1,2,3,+5
C. CapelaC. CapelaC,26,3-3,0-0,0-0,1,5,6,2,0,0,0,0,6,+15
L. WilliamsL. WilliamsSG,14,4-9,1-3,0-0,0,0,0,2,0,0,0,0,9,+6
D. WrightD. WrightSG,28,3-4,1-1,2-2,0,3,3,5,1,0,0,3,9,-5
