POR,BOS,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,39,1-3,1-2,2-4,0,4,4,0,0,1,0,4,5,+10
N. LittleN. LittleSF,33,3-7,1-4,0-0,0,8,8,2,0,0,1,2,7,+11
J. NurkicJ. NurkicC,38,9-16,1-1,10-13,6,11,17,6,1,1,5,4,29,+20
C. McCollumC. McCollumSG,36,7-19,5-10,5-7,0,5,5,4,0,2,2,4,24,+4
A. SimonsA. SimonsSG,38,8-17,4-8,1-2,0,2,2,4,2,0,0,0,21,+8
T. WatfordT. WatfordPF,10,1-1,0-0,2-2,1,0,1,2,0,0,1,0,4,-14
D. Smith Jr.D. Smith Jr.PG,10,1-3,0-0,0-0,0,0,0,2,2,0,1,4,2,-4
B. McLemoreB. McLemoreSG,20,4-7,4-7,0-0,0,3,3,0,0,0,3,2,12,-25
C. EllebyC. EllebySG,15,2-3,0-1,1-2,0,2,2,0,1,0,0,1,5,+10
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,41,8-19,0-6,11-14,1,9,10,7,0,0,4,4,27,+2
A. HorfordA. HorfordC,27,3-6,0-3,0-0,0,4,4,3,0,3,0,4,6,+5
R. Williams IIIR. Williams IIIC,33,2-4,0-0,1-1,6,4,10,2,2,2,3,5,5,-11
D. SchroderD. SchroderPG,22,4-9,1-5,0-0,0,2,2,4,4,0,0,2,9,-12
J. BrownJ. BrownSG,35,7-20,2-7,6-6,0,5,5,5,0,0,1,2,22,-10
G. WilliamsG. WilliamsPF,33,4-7,3-5,2-2,1,7,8,3,0,0,2,3,13,+5
E. FreedomE. FreedomC,3,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0,-9
P. PritchardP. PritchardPG,12,2-3,2-3,0-0,0,1,1,0,1,0,0,0,6,+5
J. RichardsonJ. RichardsonSG,12,2-6,1-4,0-0,0,0,0,1,0,0,0,1,5,-12
R. LangfordR. LangfordSG,23,5-7,2-4,0-0,0,2,2,0,0,2,1,1,12,+17
