CHI,MIL,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. CookT. CookF,26,2-3,0-0,0-0,1,6,7,0,1,1,1,5,4,-9
D. DeRozanD. DeRozanSF,38,9-18,0-3,17-18,1,5,6,3,0,0,1,0,35,+1
N. VucevicN. VucevicC,35,7-17,2-7,3-3,0,11,11,3,1,2,2,5,19,0
C. WhiteC. WhitePG,37,3-15,0-9,1-1,2,2,4,4,0,0,1,4,7,-8
A. DosunmuA. DosunmuSG,39,2-9,1-5,0-0,0,5,5,6,1,0,2,3,5,+3
M. HillM. HillF,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
T. Brown Jr.T. Brown Jr.SF,19,1-4,0-2,0-0,2,3,5,1,0,0,1,0,2,-6
A. CarusoA. CarusoSG,24,3-11,1-6,0-2,0,8,8,4,1,1,0,2,7,+2
M. ThomasM. ThomasSG,19,4-7,3-5,0-0,0,3,3,0,0,0,0,2,11,-3
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,37,11-23,0-3,8-12,1,11,12,3,1,2,3,3,30,+1
K. MiddletonK. MiddletonSF,36,6-15,1-4,3-6,0,10,10,6,1,1,1,2,16,+7
B. PortisB. PortisC,27,5-15,1-7,1-2,6,7,13,1,0,0,1,3,12,+9
G. HillG. HillPG,26,1-5,0-2,2-2,2,2,4,1,0,0,1,0,4,+8
G. AllenG. AllenSG,20,2-5,1-2,0-0,0,3,3,0,1,0,1,3,5,0
J. HolidayJ. HolidayPG,27,5-12,1-3,2-2,1,3,4,2,0,0,0,1,13,-1
W. MatthewsW. MatthewsSG,18,2-3,1-2,0-0,1,2,3,2,0,0,1,3,5,0
P. ConnaughtonP. ConnaughtonSG,27,0-5,0-4,2-2,0,2,2,2,0,0,0,0,2,0
D. DiVincenzoD. DiVincenzoSG,22,2-5,1-4,2-2,0,2,2,3,0,0,0,2,7,-4
