BKN,SA,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. EdwardsK. EdwardsSF,32,2-7,1-3,0-0,2,3,5,0,3,1,2,1,5,+20
D. SharpeD. SharpeC,14,3-6,0-0,0-0,2,8,10,0,0,0,0,1,6,+2
P. MillsP. MillsPG,32,4-11,1-5,0-0,0,4,4,3,0,0,0,0,9,+16
K. IrvingK. IrvingPG,35,10-21,3-6,1-1,1,2,3,4,0,0,0,3,24,+13
J. HardenJ. HardenSG,37,13-24,4-8,7-7,1,9,10,11,0,1,3,3,37,+18
B. GriffinB. GriffinPF,11,4-8,0-2,2-2,2,3,5,2,0,0,1,3,10,+6
J. JohnsonJ. JohnsonPF,15,0-2,0-1,0-0,0,1,1,0,0,0,0,3,0,-5
B. BrownB. BrownSF,20,2-2,0-0,2-2,1,4,5,1,0,2,0,1,6,+11
D. Duke Jr.D. Duke Jr.SF,1,0-0,0-0,0-0,1,0,1,0,0,0,0,0,0,0
L. AldridgeL. AldridgeC,22,8-14,0-0,0-0,2,5,7,2,0,1,0,2,16,+7
D. BembryD. BembrySG,9,1-2,0-0,0-0,0,1,1,1,0,0,0,0,2,-11
C. ThomasC. ThomasSG,10,1-3,0-0,0-0,0,1,1,0,0,0,1,0,2,-2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,25,3-9,1-4,0-0,2,1,3,1,0,1,0,1,7,-14
K. JohnsonK. JohnsonSF,32,5-12,2-7,2-2,0,7,7,2,0,0,1,2,14,-11
J. PoeltlJ. PoeltlC,36,6-12,0-0,3-5,5,6,11,1,0,3,0,2,15,-11
D. WhiteD. WhitePG,34,4-16,3-7,6-8,2,4,6,7,0,0,3,3,17,-9
D. MurrayD. MurrayPG,37,8-20,1-3,8-8,4,8,12,10,1,0,1,3,25,-15
D. EubanksD. EubanksPF,7,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
J. HernangomezJ. HernangomezF,2,0-0,0-0,0-0,1,0,1,0,0,0,1,0,0,-3
K. Bates-DiopK. Bates-DiopSF,19,2-6,0-1,0-0,2,3,5,0,0,1,0,0,4,-4
J. LandaleJ. LandaleC,5,2-2,0-0,0-0,0,0,0,0,0,0,0,0,4,-5
T. JonesT. JonesPG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
L. Walker IVL. Walker IVSG,18,2-6,1-2,0-0,0,1,1,2,1,2,0,1,5,0
D. VassellD. VassellSG,24,4-11,0-5,1-1,0,3,3,1,1,0,0,1,9,-1
