DET,UTAH,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,31,5-14,3-11,0-0,0,1,1,4,2,0,1,2,13,-13
I. StewartI. StewartC,25,4-9,0-0,0-0,3,6,9,1,0,0,0,4,8,-6
C. JosephC. JosephPG,35,2-7,1-2,3-4,1,3,4,3,1,0,0,3,8,-9
C. CunninghamC. CunninghamPG,41,11-23,1-4,2-2,2,4,6,5,2,3,2,5,25,-14
H. DialloH. DialloSG,19,3-6,0-1,2-2,0,1,1,2,1,0,0,1,8,-1
K. OlynykK. OlynykPF,19,1-6,0-3,2-4,0,4,4,5,0,0,2,4,4,+6
T. LylesT. LylesPF,25,5-9,3-4,3-4,2,3,5,2,0,1,2,2,16,-9
S. LeeS. LeePG,7,0-1,0-0,0-0,1,1,2,0,0,0,1,1,0,-3
J. JacksonJ. JacksonSG,15,2-2,0-0,0-0,0,4,4,0,0,0,2,0,4,+4
R. McGruderR. McGruderG,23,5-10,5-7,0-0,0,4,4,0,0,0,0,2,15,-5
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,32,1-3,1-2,2-2,0,4,4,1,0,0,1,3,5,+16
B. BogdanovicB. BogdanovicSF,31,7-15,3-6,6-7,2,4,6,2,1,0,0,3,23,+8
R. GobertR. GobertC,32,8-11,0-0,8-11,4,10,14,1,0,4,2,4,24,-5
M. ConleyM. ConleyPG,30,5-12,1-7,8-8,0,4,4,4,1,0,1,1,19,-9
J. InglesJ. InglesSG,32,2-9,1-8,0-0,0,3,3,5,1,0,1,3,5,-11
E. PaschallE. PaschallPF,16,1-3,1-1,0-0,0,3,3,0,0,0,2,3,3,+15
R. GayR. GaySF,18,1-5,0-2,2-2,0,4,4,4,0,1,1,1,4,+1
J. ClarksonJ. ClarksonPG,31,8-17,3-5,1-1,1,3,4,1,0,1,2,2,20,+16
T. ForrestT. ForrestSG,18,3-4,0-0,2-3,0,2,2,4,0,1,0,1,8,+19
