SAC,MIL,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,23,6-12,1-2,0-0,2,3,5,0,0,0,1,2,13,-8
H. BarnesH. BarnesSF,39,11-18,3-6,4-6,1,5,6,3,0,0,0,1,29,-15
R. HolmesR. HolmesC,25,8-9,0-0,1-1,2,5,7,2,1,1,1,0,17,-6
T. HaliburtonT. HaliburtonPG,38,8-14,5-8,3-5,1,5,6,12,1,0,4,4,24,+1
T. DavisT. DavisSG,30,9-18,3-9,1-1,0,7,7,3,1,0,3,4,22,-1
C. MetuC. MetuPF,13,1-4,0-2,0-0,1,2,3,0,0,0,1,1,2,0
D. JonesD. JonesC,24,2-3,0-0,1-3,3,1,4,5,1,0,1,2,5,0
D. MitchellD. MitchellPG,20,4-8,1-3,0-0,0,2,2,2,0,1,2,3,9,-5
B. HieldB. HieldSG,29,2-11,2-7,0-0,3,5,8,2,0,0,1,3,6,+4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. MiddletonK. MiddletonSF,34,12-20,5-7,5-5,1,5,6,5,1,0,2,4,34,+14
B. PortisB. PortisC,33,2-9,1-4,1-2,1,11,12,3,0,0,1,2,6,+17
G. HillG. HillPG,30,4-7,3-6,6-6,3,1,4,2,1,0,1,0,17,+11
J. HolidayJ. HolidayPG,32,10-20,2-3,4-4,1,4,5,4,2,0,2,1,26,-8
P. ConnaughtonP. ConnaughtonSG,29,5-10,5-10,0-0,0,5,5,1,4,0,1,0,15,0
S. MamukelashviliS. MamukelashviliPF,6,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,-13
J. NworaJ. NworaSF,22,4-10,2-5,0-0,0,5,5,1,1,0,0,4,10,+1
W. MatthewsW. MatthewsSG,18,0-2,0-1,1-2,1,0,1,0,1,0,0,1,1,+1
R. HoodR. HoodSG,13,2-3,0-1,0-0,1,1,2,1,0,0,0,0,4,+15
D. DiVincenzoD. DiVincenzoSG,25,6-10,3-5,5-6,1,2,3,2,1,0,0,2,20,-8
