BOS,WSH,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,33,18-28,9-14,6-6,2,8,10,7,0,0,1,1,51,+31
A. HorfordA. HorfordC,35,3-10,1-4,0-0,2,6,8,1,0,0,0,1,7,+9
R. Williams IIIR. Williams IIIC,31,4-6,0-0,0-0,3,5,8,4,0,2,1,3,8,+32
M. SmartM. SmartPG,31,4-9,2-6,1-2,0,4,4,6,4,0,4,4,11,+36
J. BrownJ. BrownSG,31,5-18,4-9,4-6,2,8,10,1,1,0,2,3,18,+12
G. WilliamsG. WilliamsPF,22,3-6,2-3,2-2,1,6,7,1,0,1,0,1,10,+6
A. NesmithA. NesmithSF,4,0-2,0-0,1-2,0,2,2,0,0,0,0,0,1,+2
E. FreedomE. FreedomC,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
D. SchroderD. SchroderPG,22,2-5,0-0,3-3,0,2,2,5,0,0,3,1,7,+12
P. PritchardP. PritchardPG,4,0-2,0-1,0-0,0,1,1,1,0,0,1,1,0,+2
J. RichardsonJ. RichardsonSG,17,0-3,0-1,0-0,1,3,4,0,0,0,0,1,0,+3
R. LangfordR. LangfordSG,8,1-1,1-1,0-0,0,0,0,0,0,0,1,0,3,+1
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,24,4-11,2-3,2-4,3,4,7,1,0,1,2,0,12,-29
D. GaffordD. GaffordC,11,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,-11
S. DinwiddieS. DinwiddiePG,27,1-12,0-7,2-2,2,3,5,5,1,2,2,2,4,-17
B. BealB. BealSG,31,7-17,0-3,5-5,1,4,5,7,2,0,2,0,19,-25
K. Caldwell-PopeK. Caldwell-PopeSG,22,3-11,0-4,2-3,0,1,1,1,0,1,0,2,8,-28
A. GillA. GillPF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-6
R. HachimuraR. HachimuraPF,19,3-7,1-2,0-0,0,7,7,2,1,0,0,0,7,+7
D. BertansD. BertansSF,12,1-5,1-5,0-0,0,3,3,0,0,0,0,2,3,-7
C. KispertC. KispertSF,24,1-4,1-1,0-0,0,1,1,0,1,1,0,1,3,0
D. AvdijaD. AvdijaSF,27,6-9,1-2,0-0,1,6,7,1,0,0,0,4,13,-13
M. HarrellM. HarrellC,7,1-2,0-0,1-1,0,1,1,0,0,0,0,0,3,-12
T. BryantT. BryantC,22,4-10,2-5,1-1,2,2,4,1,2,1,0,2,11,-1
R. NetoR. NetoPG,6,0-1,0-1,0-0,0,1,1,1,1,0,0,0,0,+2
A. HolidayA. HolidayPG,4,1-3,0-1,0-0,0,1,1,1,0,0,0,1,2,-5
