ATL,CHA,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,30,3-5,0-1,2-2,1,4,5,5,0,0,0,3,8,+11
D. HunterD. HunterSF,34,6-11,1-4,7-9,0,2,2,1,3,1,2,5,20,+19
C. CapelaC. CapelaC,26,3-7,0-0,1-2,0,8,8,0,2,1,1,3,7,+16
T. YoungT. YoungPG,35,9-20,8-15,4-5,0,4,4,4,1,0,2,2,30,+14
K. HuerterK. HuerterSG,29,4-8,2-4,1-1,1,0,1,2,1,1,2,1,11,+13
D. GallinariD. GallinariPF,22,4-12,2-6,0-0,1,6,7,3,0,1,0,2,10,+13
O. OkongwuO. OkongwuPF,16,2-4,0-0,1-2,3,4,7,1,0,2,1,2,5,+3
K. Knox IIK. Knox IIF,11,2-6,0-4,0-0,0,3,3,1,1,0,0,0,4,+1
L. WilliamsL. WilliamsSG,15,4-7,0-0,1-1,1,2,3,4,0,0,0,1,9,+2
D. WrightD. WrightSG,20,2-6,1-4,1-2,0,4,4,4,4,0,2,3,6,+12
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,1,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+3
S. MaysS. MaysSG,1,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MartinC. MartinSF,29,3-5,1-1,0-0,0,3,3,2,1,1,0,3,7,-19
M. BridgesM. BridgesSF,34,8-13,0-4,3-4,0,6,6,0,0,1,3,3,19,-17
M. PlumleeM. PlumleeC,19,3-5,0-0,0-2,3,8,11,2,0,1,1,3,6,-11
L. BallL. BallPG,34,6-17,0-8,7-7,1,5,6,4,0,1,4,4,19,-18
T. RozierT. RozierSG,30,2-14,0-6,3-5,1,4,5,7,3,0,1,2,7,-5
P.J. WashingtonP.J. WashingtonPF,31,4-7,2-4,2-2,1,6,7,4,0,2,3,2,12,-5
K. JonesK. JonesPF,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-6
J. ThorJ. ThorPF,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-6
N. RichardsN. RichardsC,2,0-0,0-0,0-2,0,1,1,0,0,0,0,0,0,-6
V. Carey Jr.V. Carey Jr.C,2,0-0,0-0,0-0,1,1,2,0,0,0,0,0,0,-6
I. SmithI. SmithPG,14,0-3,0-0,0-0,3,3,6,2,1,0,1,2,0,+7
K. Oubre Jr.K. Oubre Jr.SG,23,5-13,1-9,1-2,1,4,5,0,0,0,1,2,12,-9
J. BouknightJ. BouknightSG,17,3-8,0-4,3-3,0,2,2,2,1,0,2,3,9,-9
