PHI,SA,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,36,6-13,0-1,6-6,2,9,11,5,1,0,1,3,18,+3
J. EmbiidJ. EmbiidC,32,16-32,1-3,5-6,3,9,12,6,0,1,1,2,38,+8
T. MaxeyT. MaxeyPG,42,6-14,1-2,5-5,1,3,4,6,1,0,4,2,18,+7
F. KorkmazF. KorkmazSG,37,7-13,3-5,0-0,0,4,4,3,0,1,2,2,17,+6
C. Brown Jr.C. Brown Jr.G,27,3-6,0-0,1-1,3,1,4,1,2,0,0,2,7,-2
G. NiangG. NiangSF,24,1-5,1-3,0-0,1,3,4,1,0,0,0,0,3,+3
A. DrummondA. DrummondC,16,3-5,0-0,0-2,3,4,7,0,0,1,2,3,6,-2
I. JoeI. JoeSG,27,2-4,1-2,3-3,0,1,1,0,1,0,0,5,8,+7
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,28,4-9,1-5,0-0,0,1,1,1,2,0,1,2,9,-1
K. JohnsonK. JohnsonSF,33,5-7,2-3,5-8,0,3,3,3,0,1,0,1,17,-5
J. PoeltlJ. PoeltlC,39,11-16,0-0,3-4,4,6,10,2,0,4,1,4,25,-1
D. WhiteD. WhitePG,33,4-15,2-7,0-0,2,5,7,9,1,0,1,1,10,-5
D. MurrayD. MurrayPG,38,6-14,0-2,7-10,2,7,9,12,1,0,4,2,19,-5
D. EubanksD. EubanksPF,5,0-2,0-0,0-0,2,2,4,0,0,0,0,0,0,-8
K. Bates-DiopK. Bates-DiopSF,15,0-2,0-1,0-0,1,1,2,0,0,0,0,1,0,-1
J. LandaleJ. LandaleC,4,0-2,0-2,0-0,0,1,1,0,0,0,0,0,0,+3
L. Walker IVL. Walker IVSG,25,6-10,2-4,0-0,0,2,2,2,0,0,1,1,14,0
D. VassellD. VassellSG,20,6-12,3-6,0-0,1,3,4,1,0,0,0,3,15,-7
