PHI,HOU,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,25,6-17,1-5,0-0,0,4,4,4,1,2,2,1,13,+23
D. GreenD. GreenSF,20,2-5,1-4,0-0,1,3,4,0,1,1,0,1,5,+9
J. EmbiidJ. EmbiidC,26,9-16,0-1,13-13,4,4,8,6,1,2,2,3,31,+12
M. ThybulleM. ThybulleSG,26,4-7,2-5,0-0,0,2,2,2,3,0,0,2,10,+12
F. KorkmazF. KorkmazSG,28,5-10,2-4,0-0,1,5,6,2,1,0,2,1,12,+13
G. NiangG. NiangSF,19,3-8,2-5,0-0,0,0,0,1,1,0,1,4,8,+2
A. HenryA. HenrySF,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-7
A. DrummondA. DrummondC,17,6-8,0-0,1-3,4,6,10,3,1,1,1,2,13,+13
C. BasseyC. BasseyC,5,0-0,0-0,0-0,1,0,1,0,1,1,0,2,0,-5
I. JoeI. JoeSG,25,4-10,2-6,0-0,1,2,3,3,0,0,0,1,10,+18
M. PowellM. PowellG,20,3-8,0-2,0-0,1,3,4,2,1,0,3,2,6,+7
B. KeyB. KeyG,4,1-1,0-0,0-0,1,0,1,0,1,0,2,1,2,-5
C. Brown Jr.C. Brown Jr.G,22,0-3,0-3,1-2,0,4,4,0,2,0,1,1,1,+8
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,25,4-10,1-3,0-0,0,1,1,1,0,2,0,2,9,-20
D. TheisD. TheisC,22,4-7,3-5,1-2,1,3,4,1,2,1,1,3,12,-16
C. WoodC. WoodC,36,5-12,1-5,3-4,0,6,6,2,1,0,0,2,14,-12
K. Porter Jr.K. Porter Jr.SG,28,2-9,0-5,4-6,0,6,6,5,0,0,4,1,8,-23
J. GreenJ. GreenSG,30,6-12,2-6,0-0,1,4,5,1,0,0,7,0,14,-25
U. GarubaU. GarubaPF,5,0-1,0-1,0-0,2,1,3,0,1,1,0,0,0,+5
K. Martin Jr.K. Martin Jr.F,22,3-4,2-3,2-2,0,4,4,1,0,2,2,1,10,-3
D. NwabaD. NwabaSF,8,1-2,0-0,2-2,1,1,2,0,1,1,0,0,4,+8
D.J. AugustinD.J. AugustinPG,15,0-3,0-2,0-0,1,1,2,1,0,0,1,0,0,-2
G. MathewsG. MathewsSG,23,1-5,1-5,2-4,1,3,4,3,1,0,1,2,5,-15
J. ChristopherJ. ChristopherSG,23,3-10,3-7,4-6,0,2,2,2,1,0,3,0,13,-2
D. NixD. NixSG,5,1-2,0-0,0-1,0,0,0,1,1,0,1,0,2,+5
