LAC,WSH,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,8,0-1,0-0,0-0,0,4,4,0,0,0,0,2,0,-22
I. ZubacI. ZubacC,12,0-5,0-0,2-4,2,2,4,2,0,1,0,2,2,-19
R. JacksonR. JacksonPG,16,1-9,0-2,2-2,1,1,2,1,1,0,1,2,4,-29
T. MannT. MannSG,32,6-12,1-2,3-3,1,4,5,3,3,0,0,4,16,-1
A. CoffeyA. CoffeySG,37,10-21,3-9,6-6,3,2,5,1,2,1,1,1,29,+15
J. WinslowJ. WinslowPF,23,2-6,0-3,0-0,2,4,6,4,0,0,2,5,4,+9
S. IbakaS. IbakaC,4,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,-12
I. HartensteinI. HartensteinC,26,6-12,0-1,4-5,1,4,5,6,1,1,2,5,16,+23
E. BledsoeE. BledsoeSG,15,2-3,1-1,2-2,0,1,1,4,0,2,1,3,7,+5
L. KennardL. KennardSG,30,8-13,5-8,4-4,1,7,8,6,1,0,0,4,25,+26
B. Boston Jr.B. Boston Jr.SG,20,1-7,0-1,3-4,1,3,4,0,1,0,1,0,5,-6
J. ScrubbJ. ScrubbSG,17,3-4,1-2,1-1,0,4,4,1,0,0,2,1,8,+16
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,6-14,1-5,6-8,2,10,12,3,1,1,4,1,19,+3
D. GaffordD. GaffordC,12,4-7,0-0,4-4,1,2,3,1,0,2,2,4,12,+6
S. DinwiddieS. DinwiddiePG,34,2-10,1-7,0-0,1,5,6,4,2,0,3,5,5,-5
B. BealB. BealSG,40,8-15,2-5,5-6,1,8,9,6,1,0,5,4,23,+1
K. Caldwell-PopeK. Caldwell-PopeSG,29,3-7,1-2,5-5,1,2,3,1,0,0,0,2,12,+10
R. HachimuraR. HachimuraPF,13,3-6,1-2,0-0,0,2,2,2,0,1,2,1,7,-4
C. KispertC. KispertSF,20,1-4,1-3,0-0,0,2,2,3,0,0,0,2,3,-4
D. AvdijaD. AvdijaSF,21,4-8,1-2,2-3,0,3,3,2,0,0,1,2,11,-4
M. HarrellM. HarrellC,20,3-5,0-0,6-10,3,5,8,2,0,2,0,1,12,-8
T. BryantT. BryantC,15,3-4,1-1,4-4,1,3,4,1,0,1,1,2,11,0
