SA,HOU,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,25,6-11,3-5,0-0,2,2,4,2,0,1,1,4,15,+5
K. JohnsonK. JohnsonSF,27,7-10,2-5,0-0,1,3,4,1,2,0,1,3,16,+17
J. PoeltlJ. PoeltlC,21,9-13,0-0,0-0,2,7,9,3,0,2,1,1,18,+22
D. WhiteD. WhitePG,23,2-5,0-3,1-1,0,2,2,6,0,0,1,1,5,+16
D. MurrayD. MurrayPG,24,8-15,1-5,2-2,0,5,5,10,3,0,2,4,19,+9
T. YoungT. YoungPF,12,6-8,0-2,0-0,1,2,3,1,1,0,1,2,12,-1
D. EubanksD. EubanksPF,15,6-9,0-0,1-1,5,4,9,2,0,1,2,3,13,+9
J. HernangomezJ. HernangomezF,10,0-0,0-0,0-0,0,3,3,0,0,0,0,0,0,0
J. LandaleJ. LandaleC,7,2-2,2-2,0-0,0,2,2,0,0,0,2,1,6,+5
T. JonesT. JonesPG,25,6-8,0-1,2-2,0,2,2,4,1,0,1,0,14,+23
L. Walker IVL. Walker IVSG,21,2-10,0-4,0-0,0,2,2,3,1,0,1,1,4,+16
D. VassellD. VassellSG,29,4-10,4-5,0-0,0,4,4,6,0,1,0,2,12,+29
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,19,5-11,1-3,3-4,4,2,6,2,3,0,1,4,14,-2
C. WoodC. WoodC,24,6-11,2-5,1-4,2,5,7,0,0,0,2,2,15,-19
E. GordonE. GordonSG,25,2-9,0-3,3-3,3,2,5,2,0,0,1,0,7,-20
K. Porter Jr.K. Porter Jr.SG,26,5-12,2-4,4-5,1,4,5,9,0,0,4,2,16,-19
J. GreenJ. GreenSG,32,3-16,1-8,0-0,1,3,4,1,0,0,2,2,7,-12
K. Martin Jr.K. Martin Jr.F,29,6-7,1-1,0-1,3,5,8,2,2,0,0,0,13,-28
A. SengunA. SengunC,24,5-13,0-2,4-6,3,2,5,1,1,3,3,1,14,-11
G. MathewsG. MathewsSG,26,1-6,1-4,2-2,0,2,2,1,0,0,1,0,5,-23
A. BrooksA. BrooksSG,12,0-1,0-1,0-0,1,0,1,0,0,0,0,1,0,-14
J. ChristopherJ. ChristopherSG,24,6-9,1-3,0-0,0,2,2,3,2,0,1,0,13,-2
