MIN,POR,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,36,5-7,0-0,3-5,6,7,13,6,2,1,2,0,13,-2
J. McDanielsJ. McDanielsPF,16,1-6,1-4,0-0,0,2,2,1,2,0,1,3,3,-5
A. EdwardsA. EdwardsSF,39,14-27,5-13,7-11,1,8,9,0,3,3,1,4,40,+14
K. TownsK. TownsC,37,4-7,3-4,6-6,3,14,17,2,0,4,3,2,17,+13
D. RussellD. RussellPG,35,7-16,3-9,5-6,0,2,2,4,0,0,4,2,22,-7
T. PrinceT. PrincePF,27,0-2,0-2,0-0,1,0,1,2,0,1,2,2,0,+2
N. ReidN. ReidC,11,1-4,0-2,1-2,0,1,1,1,0,0,1,5,3,-11
M. BeasleyM. BeasleySG,20,1-5,1-3,0-0,0,1,1,1,1,1,0,1,3,+5
J. NowellJ. NowellSG,20,3-8,1-6,1-1,0,3,3,4,0,0,1,0,8,+1
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,37,3-11,0-3,2-2,2,4,6,1,1,1,1,3,8,-12
N. LittleN. LittleSF,29,7-11,4-6,2-3,3,5,8,2,0,0,1,1,20,+13
J. NurkicJ. NurkicC,32,8-18,0-0,4-6,8,6,14,4,1,0,1,5,20,+9
C. McCollumC. McCollumSG,38,5-15,3-9,2-2,1,3,4,4,0,1,0,3,15,+2
A. SimonsA. SimonsSG,34,5-18,4-13,3-3,0,4,4,7,0,0,6,4,17,+4
T. WatfordT. WatfordPF,14,1-2,0-1,0-0,0,5,5,0,0,0,1,4,2,-10
N. PowellN. PowellSF,26,2-6,2-4,2-2,0,5,5,2,1,0,2,1,8,-14
D. Smith Jr.D. Smith Jr.PG,12,3-5,0-0,2-2,1,1,2,6,1,0,2,2,8,-2
B. McLemoreB. McLemoreSG,18,3-8,3-5,0-0,0,2,2,0,0,0,0,1,9,0
