CHA,IND,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MartinC. MartinSF,26,4-8,2-5,1-2,1,2,3,3,1,2,1,3,11,+19
M. BridgesM. BridgesSF,28,8-10,3-5,3-3,0,4,4,1,0,0,1,4,22,+18
M. PlumleeM. PlumleeC,27,3-4,0-0,1-4,1,3,4,6,1,1,1,4,7,+26
L. BallL. BallPG,38,11-16,3-4,4-5,1,9,10,13,1,1,4,3,29,+45
T. RozierT. RozierSG,28,6-12,4-8,4-4,0,2,2,3,2,0,2,0,20,+9
P.J. WashingtonP.J. WashingtonPF,18,3-5,0-2,3-3,0,1,1,4,2,0,1,5,9,+4
K. JonesK. JonesPF,3,1-1,1-1,0-0,1,0,1,1,0,0,0,2,3,+2
J. ThorJ. ThorPF,5,0-2,0-1,0-0,0,1,1,0,0,0,0,0,0,-3
N. RichardsN. RichardsC,5,2-2,0-0,1-2,0,2,2,0,0,0,0,0,5,-3
I. SmithI. SmithPG,5,0-1,0-0,0-0,0,0,0,2,0,1,0,0,0,-3
K. Oubre Jr.K. Oubre Jr.SG,35,12-18,10-15,5-6,3,2,5,3,2,0,1,4,39,+27
J. BouknightJ. BouknightSG,22,4-14,1-4,4-4,1,2,3,1,0,0,2,4,13,+19
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. HolidayJ. HolidaySF,23,3-7,3-7,1-1,0,0,0,3,1,0,1,3,10,-10
T. CraigT. CraigSF,27,6-10,1-2,1-2,1,2,3,2,0,0,2,4,14,-10
G. BitadzeG. BitadzeC,19,8-12,0-2,1-2,6,0,6,2,0,0,3,3,17,-6
C. LeVertC. LeVertSG,20,3-7,0-2,4-6,2,2,4,5,0,0,0,5,10,-25
C. DuarteC. DuarteSG,22,3-8,1-3,4-4,1,3,4,0,1,0,1,0,11,-15
I. JacksonI. JacksonF,24,5-9,1-1,6-6,3,1,4,2,1,1,4,5,17,-24
O. BrissettO. BrissettSF,17,1-3,0-1,3-3,2,4,6,1,2,0,0,2,5,-18
D. Washington Jr.D. Washington Jr.PG,24,5-14,1-7,0-0,0,3,3,3,1,0,4,4,11,-19
J. LambJ. LambSG,15,2-6,2-4,0-0,0,0,0,1,2,1,0,1,6,-13
T. TaylorT. TaylorSG,10,1-1,0-0,2-2,2,3,5,2,0,0,0,1,4,-6
L. StephensonL. StephensonG,28,5-10,0-2,4-6,0,6,6,10,0,0,2,1,14,-7
K. SykesK. SykesG,12,2-5,1-3,2-2,0,0,0,2,1,1,2,2,7,-7
