LAC,ORL,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,22,4-7,4-6,0-0,1,6,7,2,1,0,1,2,12,-1
I. ZubacI. ZubacC,22,3-8,0-0,2-2,1,6,7,2,1,0,3,5,8,+7
R. JacksonR. JacksonPG,19,3-11,1-3,2-2,0,4,4,0,0,0,4,2,9,+1
T. MannT. MannSG,27,6-9,2-2,0-0,0,0,0,2,1,0,0,1,14,+2
A. CoffeyA. CoffeySG,34,5-12,3-6,6-6,1,5,6,5,1,0,0,2,19,+12
J. WinslowJ. WinslowPF,23,0-4,0-1,7-8,3,5,8,3,2,0,1,1,7,+11
S. IbakaS. IbakaC,6,0-1,0-0,0-0,0,1,1,1,0,0,0,0,0,-5
I. HartensteinI. HartensteinC,19,2-3,0-0,1-2,1,3,4,1,0,1,2,4,5,+4
E. BledsoeE. BledsoeSG,26,5-14,2-7,1-2,0,4,4,3,1,0,3,2,13,+13
L. KennardL. KennardSG,32,6-9,2-3,3-3,1,4,5,1,0,0,0,1,17,+23
B. Boston Jr.B. Boston Jr.SG,9,2-3,1-1,0-0,0,3,3,0,0,0,1,1,5,-14
J. ScrubbJ. ScrubbSG,2,0-0,0-0,2-2,0,0,0,0,0,0,0,1,2,-8
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,34,9-12,2-3,1-2,0,3,3,9,1,0,1,2,21,-1
W. Carter Jr.W. Carter Jr.C,31,4-10,0-2,3-5,1,8,9,2,0,0,3,6,11,-1
M. BambaM. BambaC,26,4-10,0-4,2-4,3,5,8,1,0,1,1,1,10,0
C. AnthonyC. AnthonyPG,32,5-11,2-5,7-7,1,5,6,11,3,1,2,4,19,-1
J. SuggsJ. SuggsSG,35,6-10,2-4,0-0,1,3,4,3,0,0,3,5,14,-7
C. OkekeC. OkekePF,17,2-9,0-6,0-0,0,2,2,1,3,0,0,1,4,-10
M. WagnerM. WagnerC,16,1-4,0-2,0-0,2,0,2,2,2,0,1,2,2,-9
T. RossT. RossSG,17,3-9,0-3,1-1,0,5,5,0,0,1,1,0,7,-3
G. HarrisG. HarrisSG,31,4-9,3-6,3-3,0,0,0,0,0,0,1,2,14,-13
