SAC,ATL,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,22,4-8,1-4,0-0,1,3,4,1,0,0,1,2,9,-23
H. BarnesH. BarnesSF,36,7-14,3-5,11-12,0,9,9,2,0,0,1,0,28,-2
R. HolmesR. HolmesC,28,6-11,0-0,0-0,3,2,5,1,2,2,1,2,12,-24
D. MitchellD. MitchellPG,31,8-17,4-9,0-1,1,1,2,6,0,0,2,5,20,+7
T. HaliburtonT. HaliburtonPG,37,5-14,1-6,0-0,0,3,3,7,2,1,4,1,11,-34
L. KingL. KingPF,7,1-6,0-2,0-1,0,2,2,0,0,0,0,0,2,0
M. HarklessM. HarklessSF,20,2-5,1-4,0-0,0,1,1,0,1,0,0,1,5,-9
R. Woodard IIR. Woodard IISF,4,0-1,0-0,0-0,1,1,2,0,0,0,0,0,0,+6
A. LenA. LenC,7,0-0,0-0,2-4,0,4,4,0,1,0,0,0,2,+5
D. JonesD. JonesC,9,1-1,0-0,0-0,0,0,0,1,0,0,0,4,2,-4
N. QuetaN. QuetaC,4,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,+6
B. HieldB. HieldSG,30,3-12,1-8,1-1,3,5,8,4,0,0,3,4,8,-12
J. RamseyJ. RamseySG,5,2-3,1-2,0-0,1,1,2,1,0,0,0,1,5,-1
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,25,4-8,0-4,1-1,0,6,6,0,1,1,0,1,9,+1
D. HunterD. HunterSF,17,4-5,1-1,0-1,0,1,1,0,0,0,1,4,9,+9
C. CapelaC. CapelaC,21,4-4,0-0,0-0,3,5,8,1,1,1,0,1,8,+7
T. YoungT. YoungPG,25,7-18,3-8,0-0,1,2,3,10,4,0,4,0,17,+1
K. HuerterK. HuerterSG,19,4-8,0-2,0-0,0,3,3,1,0,0,0,3,8,+9
D. GallinariD. GallinariPF,23,3-9,1-5,0-0,0,9,9,0,0,0,0,0,7,+16
O. OkongwuO. OkongwuPF,20,6-9,0-0,6-7,2,5,7,2,1,0,1,3,18,+22
K. Knox IIK. Knox IIF,4,0-2,0-2,0-0,0,1,1,1,0,0,0,0,0,-6
J. JohnsonJ. JohnsonSF,4,1-2,1-1,0-0,0,2,2,0,0,0,1,0,3,-6
G. DiengG. DiengC,4,1-2,0-1,0-0,0,1,1,0,0,0,0,0,2,-6
L. WilliamsL. WilliamsSG,19,5-7,3-3,2-2,0,1,1,5,0,0,0,1,15,+20
B. BogdanovicB. BogdanovicSG,23,6-11,3-8,3-4,0,3,3,7,1,0,1,3,18,+16
D. WrightD. WrightSG,28,3-5,0-1,0-0,0,2,2,1,1,0,0,1,6,+12
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
S. MaysS. MaysSG,5,0-0,0-0,1-2,0,1,1,1,0,0,0,1,1,-6
