DAL,POR,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,28,4-7,2-5,1-1,1,3,4,2,1,0,1,1,11,+16
M. KleberM. KleberPF,27,5-9,2-5,0-0,0,5,5,1,1,3,0,2,12,+1
K. PorzingisK. PorzingisC,27,8-18,1-3,5-6,0,5,5,1,1,0,3,5,22,-2
J. BrunsonJ. BrunsonPG,35,9-15,2-3,0-0,1,5,6,11,0,0,0,2,20,+16
L. DoncicL. DoncicPG,37,4-11,2-6,5-8,0,10,10,15,1,0,3,1,15,+11
R. BullockR. BullockSF,25,5-8,4-7,1-1,0,4,4,0,0,1,0,2,15,+21
M. ChrissM. ChrissSF,7,2-2,1-1,0-0,1,2,3,2,0,0,0,0,5,+2
D. PowellD. PowellC,18,5-5,0-0,5-6,2,3,5,0,2,1,0,4,15,+23
T. BurkeT. BurkePG,2,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,0
F. NtilikinaF. NtilikinaPG,15,3-6,2-4,0-0,0,0,0,1,0,0,0,2,8,+10
J. GreenJ. GreenSG,15,3-4,0-0,3-4,1,1,2,2,0,1,1,2,9,+2
T. PinsonT. PinsonG,2,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0,0
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. SnellT. SnellSF,29,1-3,0-2,0-0,0,3,3,1,0,0,0,2,2,-10
N. PowellN. PowellSF,36,5-17,2-9,7-12,0,9,9,1,1,0,1,3,19,-25
J. NurkicJ. NurkicC,31,7-11,0-1,4-7,2,6,8,3,1,0,2,1,18,-8
C. McCollumC. McCollumSG,36,8-16,4-10,0-1,0,4,4,6,1,0,2,5,20,-17
A. SimonsA. SimonsSG,36,9-14,4-7,1-1,0,2,2,7,0,0,3,1,23,-10
T. WatfordT. WatfordPF,19,4-6,0-0,0-0,0,5,5,2,0,0,0,3,8,-14
G. Brown IIIG. Brown IIIPF,7,2-3,0-0,0-0,0,1,1,0,0,0,1,2,4,-1
K. BlevinsK. BlevinsSF,4,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2,+2
B. McLemoreB. McLemoreSG,22,3-5,3-5,0-0,0,1,1,2,0,0,0,1,9,-17
C. EllebyC. EllebySG,20,2-5,1-4,2-2,1,4,5,5,1,1,0,2,7,0
