LAL,PHI,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,34,14-21,0-1,3-3,3,9,12,1,2,4,3,4,31,-7
S. JohnsonS. JohnsonPF,25,1-6,0-3,0-0,1,6,7,2,1,3,1,2,2,-2
R. WestbrookR. WestbrookPG,34,9-15,2-3,0-0,1,3,4,3,1,1,6,1,20,-11
A. BradleyA. BradleyPG,26,1-4,0-2,0-0,1,1,2,1,0,0,1,1,2,-1
M. MonkM. MonkSG,31,3-13,1-6,4-4,0,4,4,5,2,0,3,2,11,-8
C. AnthonyC. AnthonyPF,26,4-11,1-4,0-0,1,2,3,1,0,0,2,2,9,-10
K. BazemoreK. BazemoreSF,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-2
D. HowardD. HowardC,12,1-2,0-0,0-0,2,5,7,0,0,0,1,3,2,-9
W. EllingtonW. EllingtonSG,10,1-4,1-4,0-0,0,2,2,1,0,0,0,0,3,-1
A. ReavesA. ReavesSG,23,0-4,0-3,0-0,0,1,1,2,0,1,0,0,0,-16
T. Horton-TuckerT. Horton-TuckerSG,18,2-8,1-3,2-2,0,0,0,2,1,0,0,1,7,-23
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,35,10-15,3-5,0-0,0,5,5,4,2,0,3,0,23,-1
J. EmbiidJ. EmbiidC,35,9-20,0-5,8-13,1,8,9,7,1,2,4,2,26,+21
T. MaxeyT. MaxeyPG,39,5-14,2-6,2-4,0,7,7,10,0,2,2,4,14,+27
M. ThybulleM. ThybulleSG,29,4-6,0-2,0-0,0,2,2,2,4,1,1,1,8,+7
F. KorkmazF. KorkmazSG,32,3-6,0-2,0-0,0,1,1,3,0,0,1,3,6,-7
D. GreenD. GreenSF,16,3-8,3-7,0-0,0,2,2,0,0,0,1,0,9,+15
G. NiangG. NiangSF,24,5-7,4-6,0-0,0,3,3,2,0,0,1,2,14,+17
A. DrummondA. DrummondC,13,1-3,0-0,0-0,2,8,10,2,1,0,1,2,2,-3
I. JoeI. JoeSG,15,1-3,1-2,0-0,0,1,1,0,0,0,0,0,3,+8
M. PowellM. PowellG,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
C. Brown Jr.C. Brown Jr.G,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
