CHI,SA,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,37,13-22,1-1,5-5,0,6,6,8,0,0,1,1,32,-6
J. GreenJ. GreenSF,23,3-5,0-2,2-2,1,1,2,2,1,1,0,3,8,-21
N. VucevicN. VucevicC,37,8-14,1-5,1-2,2,6,8,4,2,0,2,4,18,+1
Z. LaVineZ. LaVineSG,35,10-23,2-10,8-9,0,4,4,4,0,1,2,1,30,-7
A. DosunmuA. DosunmuSG,36,3-9,0-3,4-4,0,6,6,3,2,0,0,3,10,+5
T. CookT. CookF,9,0-0,0-0,2-4,0,1,1,0,0,0,1,1,2,-5
T. Brown Jr.T. Brown Jr.SF,23,2-4,0-2,0-0,1,6,7,0,0,0,0,1,4,+1
T. BradleyT. BradleyC,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
C. WhiteC. WhitePG,29,7-9,4-6,0-0,0,2,2,1,0,0,0,2,18,0
M. ThomasM. ThomasSG,10,0-2,0-1,0-0,0,1,1,0,0,0,0,0,0,-8
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,23,4-9,3-7,0-0,0,1,1,1,0,0,0,0,11,+3
K. JohnsonK. JohnsonSF,40,8-16,4-8,3-3,0,8,8,2,0,0,0,1,23,0
J. PoeltlJ. PoeltlC,32,9-12,0-0,3-5,6,5,11,4,0,1,0,4,21,+30
D. WhiteD. WhitePG,33,4-9,2-5,4-4,0,4,4,9,0,0,1,5,14,+19
D. MurrayD. MurrayPG,37,12-24,2-4,3-4,0,9,9,12,3,0,5,2,29,-1
D. EubanksD. EubanksPF,16,2-3,0-1,0-0,4,2,6,2,0,0,1,2,4,-22
T. JonesT. JonesPG,3,0-0,0-0,2-2,0,0,0,2,0,0,0,0,2,+3
L. Walker IVL. Walker IVSG,23,4-7,3-5,0-0,0,1,1,1,0,0,0,1,11,+8
D. VassellD. VassellSG,22,5-11,1-5,0-0,0,4,4,2,0,0,0,3,11,-3
J. PrimoJ. PrimoSG,13,2-4,1-2,0-0,0,0,0,0,0,0,0,0,5,+8
