MIN,PHX,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,29,2-3,0-0,3-3,2,4,6,0,0,1,0,2,7,-4
J. McDanielsJ. McDanielsPF,29,2-3,0-1,0-0,1,4,5,2,1,0,1,3,4,+1
A. EdwardsA. EdwardsSF,37,9-20,4-11,5-6,0,5,5,10,4,1,1,3,27,+6
K. TownsK. TownsC,31,8-20,2-7,5-8,3,6,9,5,0,0,3,5,23,-15
J. NowellJ. NowellSG,15,4-8,2-4,0-0,0,1,1,0,0,0,0,4,10,-11
T. PrinceT. PrincePF,24,5-8,2-4,2-3,0,5,5,2,1,1,0,2,14,-4
J. OkogieJ. OkogieSF,13,0-0,0-0,0-0,0,0,0,0,0,1,1,0,0,-10
N. ReidN. ReidC,17,2-4,0-0,2-2,2,2,4,0,0,2,1,4,6,+7
J. McLaughlinJ. McLaughlinPG,17,3-6,0-2,1-1,0,1,1,1,1,0,0,1,7,-7
M. BeasleyM. BeasleySG,28,9-18,4-10,4-4,0,2,2,0,0,0,0,2,26,-13
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. JohnsonC. JohnsonSF,37,8-13,5-9,2-3,1,4,5,4,2,0,1,3,23,+4
M. BridgesM. BridgesSF,41,6-9,2-4,4-4,1,4,5,2,0,0,1,1,18,+1
B. BiyomboB. BiyomboC,29,6-9,0-0,2-5,4,8,12,0,0,0,2,5,14,+12
C. PaulC. PaulPG,37,5-9,4-5,7-9,1,9,10,14,1,1,2,2,21,+4
D. BookerD. BookerSG,38,10-26,4-10,5-6,0,3,3,9,1,0,1,2,29,+17
J. SmithJ. SmithPF,16,2-5,1-1,5-7,0,4,4,0,0,1,1,6,10,-7
I. WainrightI. WainrightF,10,1-3,0-2,0-0,1,3,4,0,0,0,1,3,2,+7
E. PaytonE. PaytonPG,11,0-0,0-0,0-0,1,1,2,2,0,0,2,0,0,+6
L. ShametL. ShametSG,21,5-10,4-8,3-3,1,3,4,5,0,0,1,0,17,+6
