TOR,MIA,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,57,7-18,1-3,6-6,2,11,13,6,4,4,4,5,21,+8
O. AnunobyO. AnunobySF,56,9-21,2-7,0-2,4,10,14,6,3,1,3,2,20,-5
S. BarnesS. BarnesSF,56,7-13,3-6,5-6,3,6,9,3,1,0,3,4,22,+9
F. VanVleetF. VanVleetSG,54,7-22,5-14,0-0,1,3,4,8,1,1,5,2,19,+1
G. Trent Jr.G. Trent Jr.SG,56,13-28,5-15,2-2,0,5,5,1,5,0,0,4,33,+2
C. BoucherC. BoucherPF,12,0-0,0-0,1-2,1,1,2,0,0,1,0,4,1,+3
P. AchiuwaP. AchiuwaPF,16,4-5,0-0,0-0,1,2,3,0,0,2,0,0,8,-1
D. BantonD. BantonPG,9,0-0,0-0,0-0,0,3,3,0,1,0,1,1,0,+3
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,41,4-12,3-6,0-0,1,4,5,3,2,0,0,4,11,-13
J. ButlerJ. ButlerSF,52,14-25,1-5,8-11,4,9,13,10,3,2,5,3,37,+1
B. AdebayoB. AdebayoC,45,5-12,0-0,4-7,7,9,16,1,3,2,6,5,14,-8
G. VincentG. VincentPG,45,6-15,5-12,0-0,1,2,3,4,1,0,3,4,17,-11
D. RobinsonD. RobinsonSG,20,0-5,0-5,0-0,0,1,1,0,0,0,1,0,0,-17
C. MartinC. MartinSF,22,4-7,1-2,2-2,2,2,4,1,1,0,1,3,11,+9
D. DedmonD. DedmonC,18,3-5,0-1,0-0,2,7,9,1,2,1,2,2,6,+4
T. HerroT. HerroPG,45,5-22,3-14,0-0,1,5,6,4,0,0,5,2,13,+9
M. StrusM. StrusSG,26,4-7,3-5,0-0,1,3,4,2,0,1,0,3,11,+6
