BKN,GS,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. ClaxtonN. ClaxtonPF,17,4-9,0-0,1-3,6,2,8,0,0,0,1,0,9,-21
K. EdwardsK. EdwardsSF,32,1-4,1-2,1-2,2,4,6,1,0,2,3,2,4,-1
P. MillsP. MillsPG,38,8-21,6-12,2-2,1,3,4,4,2,2,0,1,24,-12
K. IrvingK. IrvingPG,39,9-21,3-8,11-12,2,6,8,7,3,0,5,4,32,+5
D. BembryD. BembrySG,19,1-5,0-0,0-0,2,1,3,2,0,0,0,2,2,-2
B. GriffinB. GriffinPF,16,4-6,0-1,0-0,1,3,4,0,0,1,0,1,8,+13
J. JohnsonJ. JohnsonPF,26,6-10,1-2,1-1,1,3,4,2,1,1,1,3,14,-2
B. BrownB. BrownSF,21,1-5,0-1,0-0,1,6,7,1,0,2,0,1,2,-4
L. AldridgeL. AldridgeC,15,4-10,0-0,1-1,2,3,5,1,0,2,0,1,9,+7
C. ThomasC. ThomasSG,18,1-7,0-2,0-0,0,3,3,3,1,0,0,0,2,-3
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
O. Porter Jr.O. Porter Jr.SF,28,6-9,2-5,2-3,1,5,6,2,0,3,0,1,16,+22
A. WigginsA. WigginsSF,37,10-18,4-8,0-0,1,7,8,2,3,2,0,3,24,+14
K. LooneyK. LooneyC,30,3-7,0-0,0-0,7,8,15,2,0,0,3,5,6,+17
S. CurryS. CurryPG,36,5-18,3-10,6-6,2,5,7,8,3,0,5,5,19,-3
K. ThompsonK. ThompsonSG,27,5-14,2-8,4-4,2,4,6,2,1,1,0,1,16,-3
J. KumingaJ. KumingaPF,10,1-7,0-2,0-0,2,2,4,1,0,0,1,1,2,-10
J. Toscano-AndersonJ. Toscano-AndersonSF,11,2-3,0-0,2-3,0,1,1,0,0,0,1,3,6,-15
D. LeeD. LeeSG,14,0-3,0-2,0-0,1,2,3,0,0,0,0,0,0,-6
G. Payton IIG. Payton IISG,19,2-4,0-2,0-0,0,2,2,1,1,0,0,1,4,+1
J. PooleJ. PooleSG,28,6-15,3-8,2-2,0,3,3,6,0,1,0,3,17,+3
