LAL,ATL,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,38,10-20,1-3,6-9,2,3,5,4,2,1,3,4,27,+2
S. JohnsonS. JohnsonPF,29,4-6,2-3,0-1,2,1,3,2,0,0,0,2,10,+5
R. WestbrookR. WestbrookPG,35,8-15,2-4,2-5,0,7,7,12,1,0,4,1,20,-6
A. BradleyA. BradleyPG,22,2-5,0-2,0-0,0,1,1,0,0,0,2,6,4,-6
M. MonkM. MonkSG,38,12-19,8-14,1-2,0,10,10,5,0,0,2,4,33,-4
C. AnthonyC. AnthonyPF,21,5-11,1-5,0-0,1,3,4,1,1,0,0,2,11,-8
K. BazemoreK. BazemoreSF,7,0-1,0-1,0-0,0,2,2,3,0,0,0,1,0,-3
D. HowardD. HowardC,10,1-2,0-0,0-2,1,3,4,0,0,0,0,1,2,-10
A. ReavesA. ReavesSG,26,1-3,1-3,3-4,0,2,2,2,1,1,0,3,6,-2
T. Horton-TuckerT. Horton-TuckerSG,14,4-5,0-0,0-0,0,0,0,0,0,0,1,0,8,-8
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,26,10-13,0-1,0-1,2,9,11,2,3,0,0,3,20,+10
D. HunterD. HunterSF,26,3-5,0-0,3-6,0,4,4,2,0,0,2,3,9,+6
C. CapelaC. CapelaC,24,6-8,0-0,3-7,5,4,9,3,0,0,0,1,15,-11
T. YoungT. YoungPG,37,12-22,4-10,8-11,0,5,5,12,0,0,6,2,36,+7
K. HuerterK. HuerterSG,24,2-5,1-4,0-0,0,0,0,3,0,0,1,3,5,0
D. GallinariD. GallinariPF,24,1-5,1-4,1-1,0,5,5,1,2,0,1,2,4,+2
O. OkongwuO. OkongwuPF,22,8-9,0-0,0-0,1,4,5,0,1,0,0,4,16,+15
L. WilliamsL. WilliamsSG,16,2-5,1-3,4-4,0,1,1,4,0,0,1,1,9,+9
B. BogdanovicB. BogdanovicSG,27,3-9,2-8,2-2,0,5,5,3,1,0,1,1,10,+2
D. WrightD. WrightSG,14,2-3,1-1,0-0,0,0,0,1,0,0,0,1,5,0
