LAC,CHA,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,23,6-12,2-6,2-2,0,3,3,1,1,0,1,2,16,-3
I. ZubacI. ZubacC,20,2-2,0-0,3-4,1,10,11,3,0,1,3,2,7,+3
R. JacksonR. JacksonPG,27,8-13,3-4,0-0,0,4,4,5,1,0,1,3,19,+3
T. MannT. MannSG,21,2-6,0-3,0-0,0,3,3,2,0,0,1,1,4,-4
A. CoffeyA. CoffeySG,26,3-7,1-4,0-0,0,5,5,2,1,0,2,2,7,-4
J. WinslowJ. WinslowPF,25,5-7,0-0,3-4,2,7,9,1,1,3,4,2,13,+28
S. IbakaS. IbakaC,7,2-4,0-1,2-2,1,1,2,0,0,0,0,0,6,+3
I. HartensteinI. HartensteinC,21,2-7,0-0,3-4,0,6,6,1,0,2,3,3,7,+17
E. BledsoeE. BledsoeSG,16,1-1,1-1,0-0,0,2,2,2,1,0,1,4,3,+23
L. KennardL. KennardSG,27,5-10,3-6,1-1,0,10,10,4,0,0,1,1,14,+28
B. Boston Jr.B. Boston Jr.SG,22,8-14,1-3,2-2,2,3,5,2,0,0,0,1,19,+31
J. ScrubbJ. ScrubbSG,4,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0,0
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MartinC. MartinSF,39,3-8,2-5,0-0,1,3,4,1,1,0,1,2,8,-12
M. BridgesM. BridgesSF,38,6-19,0-6,6-8,2,7,9,2,1,2,0,3,18,-6
M. PlumleeM. PlumleeC,24,5-8,0-0,0-4,4,5,9,4,2,0,3,1,10,-9
L. BallL. BallPG,38,8-19,1-6,6-6,0,5,5,10,2,0,0,3,23,-6
T. RozierT. RozierSG,40,4-14,2-6,0-0,0,5,5,3,0,0,2,2,10,-22
P.J. WashingtonP.J. WashingtonPF,20,3-14,2-9,2-2,1,6,7,1,0,0,0,1,10,-18
J. ThorJ. ThorPF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
N. RichardsN. RichardsC,3,0-1,0-0,1-2,1,0,1,0,0,0,0,0,1,-3
I. SmithI. SmithPG,15,0-6,0-1,0-0,1,0,1,3,0,0,2,1,0,-24
J. BouknightJ. BouknightSG,19,3-9,1-1,3-5,1,2,3,0,2,0,0,2,10,-22
