CLE,DET,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,26,5-6,4-5,0-0,1,3,4,1,1,1,1,3,14,-2
I. OkoroI. OkoroSF,33,4-7,1-3,0-0,1,2,3,4,1,0,1,2,9,-5
J. AllenJ. AllenC,35,4-11,0-1,7-8,3,6,9,3,0,2,1,3,15,-11
E. MobleyE. MobleyC,37,7-12,0-1,4-9,1,8,9,2,0,3,3,2,18,+5
D. GarlandD. GarlandPG,36,9-18,5-10,1-1,0,4,4,7,0,0,2,1,24,-8
K. LoveK. LovePF,19,4-10,0-4,0-0,2,5,7,1,1,0,1,3,8,-10
L. StevensL. StevensF,8,0-2,0-1,1-2,1,0,1,1,0,0,0,1,1,+1
C. OsmanC. OsmanSF,22,4-7,2-4,3-5,1,0,1,1,1,0,1,4,13,-7
R. RondoR. RondoPG,19,1-6,1-4,0-0,0,1,1,5,2,0,1,0,3,-5
D. WindlerD. WindlerSG,4,0-3,0-1,0-0,2,0,2,0,0,0,0,1,0,-8
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,36,11-20,3-9,6-6,0,1,1,3,1,1,1,0,31,+12
I. StewartI. StewartC,31,7-12,0-0,0-1,7,5,12,1,0,0,1,1,14,-8
C. JosephC. JosephPG,27,1-5,0-2,0-0,0,2,2,3,1,0,1,2,2,-13
C. CunninghamC. CunninghamPG,37,6-21,2-4,5-5,5,5,10,10,3,1,1,3,19,+9
H. DialloH. DialloSG,19,3-9,0-2,0-0,3,3,6,0,0,0,0,3,6,-20
T. LylesT. LylesPF,20,4-7,1-1,6-8,1,6,7,2,1,2,3,4,15,+13
F. JacksonF. JacksonPG,25,7-10,3-6,2-3,0,3,3,1,0,0,1,4,19,+21
K. HayesK. HayesPG,24,1-4,0-0,2-2,0,2,2,6,0,0,1,2,4,+16
R. McGruderR. McGruderG,21,2-3,1-2,0-0,0,5,5,0,1,0,0,2,5,+20
