NO,CLE,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. JonesH. JonesSF,31,0-7,0-3,3-3,0,2,2,4,1,1,2,1,3,0
J. ValanciunasJ. ValanciunasC,31,7-13,0-3,2-2,6,3,9,4,0,2,3,3,16,-3
J. HayesJ. HayesC,31,9-10,1-2,0-0,1,6,7,0,0,3,1,5,19,+2
D. GrahamD. GrahamPG,29,6-15,3-11,5-6,1,1,2,4,0,0,1,0,20,-11
J. HartJ. HartSG,37,2-9,1-5,5-6,1,9,10,3,2,0,2,3,10,-8
G. ClarkG. ClarkF,13,1-3,1-2,0-0,0,3,3,0,2,1,0,2,3,-3
G. TempleG. TempleSF,12,1-3,0-0,0-0,0,1,1,1,0,1,0,1,2,-4
W. HernangomezW. HernangomezC,16,2-12,0-0,3-4,6,4,10,2,0,0,1,2,7,0
J. AlvaradoJ. AlvaradoPG,19,1-4,0-1,0-0,1,4,5,3,0,0,0,0,2,+8
N. Alexander-WalkerN. Alexander-WalkerSG,19,4-9,0-3,0-0,0,2,2,5,1,0,3,1,8,+4
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,19,0-5,0-5,0-0,0,1,1,2,1,0,1,2,0,-5
C. OsmanC. OsmanSF,38,3-16,0-7,1-1,0,2,2,12,0,0,1,4,7,-4
I. OkoroI. OkoroSF,25,4-5,2-2,4-4,2,1,3,1,0,0,1,2,14,-1
J. AllenJ. AllenC,34,7-12,0-0,2-2,2,6,8,1,0,2,0,0,16,+4
E. MobleyE. MobleyC,23,1-7,0-2,2-3,2,3,5,2,1,3,1,2,4,-9
K. LoveK. LovePF,33,6-15,3-8,0-0,1,10,11,3,0,2,0,1,15,+17
L. StevensL. StevensF,23,5-6,0-0,1-2,0,4,4,2,3,2,1,2,11,+3
R. RondoR. RondoPG,18,2-7,1-3,0-0,0,2,2,2,0,0,1,1,5,+4
B. GoodwinB. GoodwinG,27,8-11,3-4,2-2,0,1,1,1,1,0,3,5,21,+6
