LAC,IND,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,27,4-14,0-3,1-1,1,4,5,4,0,0,1,2,9,+4
S. IbakaS. IbakaC,22,6-7,0-1,2-2,2,9,11,0,1,2,1,2,14,+1
R. JacksonR. JacksonPG,31,8-18,4-11,1-1,1,2,3,5,0,0,2,0,21,+4
T. MannT. MannSG,23,3-7,0-1,0-0,2,3,5,2,1,0,0,2,6,+1
A. CoffeyA. CoffeySG,35,9-14,5-9,4-4,2,3,5,4,1,1,1,2,27,-2
N. BatumN. BatumPF,25,4-7,4-7,1-2,1,1,2,1,1,1,0,0,13,-7
J. WinslowJ. WinslowPF,16,1-2,0-0,0-0,0,0,0,2,0,1,1,2,2,-1
I. HartensteinI. HartensteinC,14,3-5,0-0,0-0,0,3,3,1,1,0,2,2,6,-3
E. BledsoeE. BledsoeSG,23,5-13,1-6,2-3,1,5,6,3,1,0,1,1,13,-12
L. KennardL. KennardSG,16,1-7,0-5,0-0,0,1,1,2,0,0,0,0,2,-13
B. Boston Jr.B. Boston Jr.SG,6,1-2,1-1,0-0,0,0,0,1,1,0,0,2,3,-2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
I. JacksonI. JacksonF,29,12-19,1-3,1-2,4,6,10,0,1,2,0,0,26,+9
J. HolidayJ. HolidaySF,34,5-9,3-5,0-0,1,4,5,6,0,2,1,2,13,+5
T. CraigT. CraigSF,27,3-9,2-5,0-0,0,2,2,2,0,0,1,2,8,+1
C. LeVertC. LeVertSG,36,6-12,1-2,4-6,0,7,7,9,0,0,5,2,17,-2
C. DuarteC. DuarteSG,30,3-11,0-1,2-2,1,4,5,2,2,1,1,0,8,-7
D. Washington Jr.D. Washington Jr.PG,24,6-13,4-7,0-0,0,4,4,4,0,0,1,2,16,+12
J. LambJ. LambSG,27,3-5,2-4,1-2,0,6,6,2,0,0,0,1,9,+8
T. TaylorT. TaylorSG,21,7-11,1-1,0-0,5,3,8,2,0,0,0,1,15,-1
L. StephensonL. StephensonG,12,5-6,0-1,0-0,0,3,3,4,0,0,2,1,10,+5
K. SykesK. SykesG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,0
