MEM,PHI,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,35,7-17,1-5,3-6,4,3,7,1,1,2,0,3,18,0
S. AdamsS. AdamsC,38,3-5,0-0,1-3,5,7,12,2,2,3,3,1,7,+6
J. MorantJ. MorantPG,42,15-30,0-5,7-10,0,5,5,5,1,0,9,3,37,-7
D. BaneD. BaneSG,39,12-21,5-9,5-5,1,6,7,1,3,0,1,2,34,+1
Z. WilliamsZ. WilliamsSG,34,3-10,0-6,2-2,2,7,9,2,0,0,1,1,8,+7
B. ClarkeB. ClarkePF,13,2-3,0-0,0-0,2,0,2,0,1,1,0,1,4,-7
K. AndersonK. AndersonSF,20,1-2,0-0,1-2,0,1,1,3,3,0,0,2,3,-3
T. JonesT. JonesPG,17,2-6,0-1,0-0,1,1,2,2,3,0,0,1,4,-2
J. KoncharJ. KoncharSG,12,0-2,0-2,0-0,0,1,1,0,0,0,0,1,0,-7
D. MeltonD. MeltonSG,15,2-6,0-2,0-0,0,2,2,2,0,0,0,0,4,-3
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,40,12-25,2-5,5-5,2,3,5,5,0,2,4,4,31,+1
A. DrummondA. DrummondC,43,8-11,0-0,0-1,10,13,23,5,2,3,3,5,16,-1
T. MaxeyT. MaxeyPG,43,13-23,1-4,6-7,0,3,3,8,1,4,3,0,33,+5
S. CurryS. CurrySG,40,4-15,1-8,0-0,1,2,3,8,2,0,2,4,9,-3
M. ThybulleM. ThybulleSG,33,2-2,1-1,0-0,0,3,3,3,1,1,0,0,5,-1
D. GreenD. GreenSF,25,3-8,2-5,0-0,0,5,5,1,1,0,2,2,8,+12
G. NiangG. NiangSF,17,3-8,2-4,0-0,0,2,2,0,0,0,3,4,8,+14
C. BasseyC. BasseyC,9,1-3,0-0,0-0,1,3,4,0,0,2,1,2,2,-4
I. JoeI. JoeSG,14,3-5,2-4,2-2,0,1,1,0,1,0,3,2,10,-6
C. Brown Jr.C. Brown Jr.G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
