TOR,ATL,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,41,9-17,1-2,6-8,0,6,6,4,2,2,4,4,25,+5
O. AnunobyO. AnunobySF,36,6-13,3-5,0-0,0,5,5,2,1,1,0,2,15,+13
S. BarnesS. BarnesSF,36,3-7,0-2,1-1,2,4,6,1,1,3,2,2,7,+9
F. VanVleetF. VanVleetSG,39,6-20,4-10,0-0,0,6,6,11,0,1,1,2,16,+17
G. Trent Jr.G. Trent Jr.SG,41,10-22,9-15,2-4,0,6,6,1,1,0,1,1,31,+8
C. BoucherC. BoucherPF,21,0-1,0-1,3-4,1,6,7,1,0,1,0,1,3,-4
P. AchiuwaP. AchiuwaPF,18,3-6,1-1,0-0,1,3,4,1,0,0,0,2,7,-6
J. ChampagnieJ. ChampagnieSF,3,1-1,0-0,0-0,1,0,1,0,0,0,0,1,2,-4
D. BantonD. BantonPG,6,0-2,0-0,0-0,1,1,2,0,2,0,0,0,0,-8
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,27,3-11,0-4,0-0,0,7,7,4,0,2,2,3,6,-11
D. HunterD. HunterSF,33,7-15,1-3,2-2,0,5,5,1,1,0,3,3,17,-10
C. CapelaC. CapelaC,23,3-4,0-0,0-0,1,7,8,1,0,1,1,2,6,-8
D. WrightD. WrightSG,23,1-7,0-3,2-2,1,3,4,7,3,0,2,1,4,-9
K. HuerterK. HuerterSG,39,9-12,5-6,3-4,1,1,2,2,2,0,4,3,26,-6
D. GallinariD. GallinariPF,23,1-5,1-4,4-4,0,3,3,2,0,0,1,3,7,+3
O. OkongwuO. OkongwuPF,23,3-6,0-0,3-4,2,7,9,1,0,1,1,2,9,+4
L. WilliamsL. WilliamsSG,19,3-5,1-1,0-0,0,3,3,6,0,1,1,1,7,+7
B. BogdanovicB. BogdanovicSG,31,7-16,4-11,0-0,0,5,5,4,0,0,0,2,18,0
