WSH,MIL,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,9-19,3-8,4-6,3,8,11,2,1,3,2,0,25,-20
T. BryantT. BryantC,16,1-2,1-1,2-2,0,1,1,1,0,0,1,0,5,-13
S. DinwiddieS. DinwiddiePG,31,2-9,2-7,1-2,0,7,7,9,0,0,3,3,7,-16
A. HolidayA. HolidayPG,19,1-5,1-4,0-0,0,1,1,2,1,1,2,2,3,-11
K. Caldwell-PopeK. Caldwell-PopeSG,30,4-11,1-4,3-3,0,1,1,2,1,1,0,0,12,-23
R. HachimuraR. HachimuraPF,20,3-5,1-3,1-2,0,3,3,2,1,0,0,4,8,0
C. KispertC. KispertSF,20,3-6,1-3,0-0,1,2,3,0,0,0,0,0,7,-2
D. AvdijaD. AvdijaSF,22,2-4,1-2,1-1,0,6,6,1,0,0,2,3,6,+14
M. HarrellM. HarrellC,26,9-15,0-1,2-4,2,3,5,0,0,0,2,3,20,-3
D. GaffordD. GaffordC,6,1-2,0-0,0-0,1,1,2,0,0,0,0,0,2,+2
R. NetoR. NetoPG,14,1-4,1-2,0-0,0,0,0,3,0,0,0,1,3,+2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,38,14-21,0-3,5-5,2,13,15,11,0,2,2,3,33,+14
K. MiddletonK. MiddletonSF,35,4-12,2-7,3-4,1,4,5,3,1,0,1,3,13,+18
B. PortisB. PortisC,35,8-14,1-5,0-0,0,7,7,2,0,0,1,2,17,+21
J. HolidayJ. HolidayPG,36,9-16,4-5,0-0,2,3,5,2,2,0,3,4,22,+19
G. AllenG. AllenSG,32,4-9,2-5,0-0,2,4,6,6,1,0,1,0,10,+17
S. MamukelashviliS. MamukelashviliPF,4,1-2,0-1,0-0,0,1,1,0,0,0,0,0,2,+4
W. MatthewsW. MatthewsSG,14,1-6,0-4,0-0,0,1,1,0,1,0,0,2,2,-7
P. ConnaughtonP. ConnaughtonSG,25,2-7,2-6,0-0,0,2,2,0,1,0,0,1,6,-11
D. DiVincenzoD. DiVincenzoSG,20,3-5,1-2,0-0,1,1,2,2,1,0,1,2,7,-5
