WSH,PHI,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,10-19,4-6,0-0,1,6,7,3,1,3,1,1,24,+8
D. GaffordD. GaffordC,21,4-7,0-0,1-1,5,2,7,2,0,1,1,4,9,-7
S. DinwiddieS. DinwiddiePG,30,4-16,1-3,5-6,5,7,12,10,0,0,3,2,14,+4
A. HolidayA. HolidayPG,18,0-2,0-1,2-2,0,1,1,1,0,0,0,2,2,-8
K. Caldwell-PopeK. Caldwell-PopeSG,29,2-10,0-1,0-0,1,3,4,1,0,0,0,0,4,0
R. HachimuraR. HachimuraPF,19,4-6,1-1,2-2,0,2,2,1,0,0,1,0,11,+3
C. KispertC. KispertSF,18,3-6,3-5,2-2,2,4,6,1,0,1,0,0,11,-3
D. AvdijaD. AvdijaSF,26,3-8,0-4,2-2,0,9,9,0,0,0,0,0,8,+8
M. HarrellM. HarrellC,27,7-10,0-0,0-1,1,2,3,3,0,0,1,3,14,+10
R. NetoR. NetoPG,17,4-6,0-1,1-3,0,1,1,3,0,0,1,2,9,0
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,41,7-17,1-2,3-3,1,8,9,3,0,0,2,1,18,-1
D. GreenD. GreenSF,27,2-5,2-4,0-0,1,1,2,2,0,1,0,3,6,-5
J. EmbiidJ. EmbiidC,35,11-27,0-3,5-8,3,11,14,6,1,1,0,3,27,+4
T. MaxeyT. MaxeyPG,38,9-16,2-4,2-2,1,7,8,7,1,0,0,3,22,+9
M. ThybulleM. ThybulleSG,34,1-3,1-2,0-0,1,0,1,0,0,2,0,1,3,-4
G. NiangG. NiangSF,24,5-11,2-6,0-0,1,2,3,0,0,0,2,3,12,-2
A. DrummondA. DrummondC,13,2-4,0-0,0-0,2,1,3,4,0,0,0,4,4,-7
I. JoeI. JoeSG,25,4-7,3-5,0-0,0,1,1,1,0,0,0,0,11,-1
M. PowellM. PowellG,4,0-1,0-1,0-0,0,0,0,0,0,0,0,2,0,-8
