CHA,BOS,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. WashingtonP.J. WashingtonPF,42,6-11,4-9,0-0,2,5,7,1,2,0,3,3,16,-2
M. BridgesM. BridgesSF,31,2-8,0-2,2-3,0,3,3,0,0,1,1,2,6,-6
M. PlumleeM. PlumleeC,30,2-5,0-1,1-3,6,11,17,2,1,0,3,4,5,+5
L. BallL. BallPG,39,12-24,4-10,10-13,2,4,6,9,2,0,3,2,38,-13
T. RozierT. RozierSG,41,10-22,3-9,0-0,3,2,5,4,3,0,3,3,23,-5
C. MartinC. MartinSF,16,2-5,0-2,0-0,0,3,3,2,0,0,0,0,4,+6
N. RichardsN. RichardsC,8,0-0,0-0,0-0,0,2,2,0,0,0,1,1,0,-13
K. Oubre Jr.K. Oubre Jr.SG,34,3-12,1-7,8-8,1,2,3,0,4,3,2,5,15,-2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,33,6-16,1-7,6-6,0,6,6,9,1,0,3,4,19,+9
A. HorfordA. HorfordC,33,2-7,2-5,0-0,1,11,12,1,1,0,1,1,6,-1
R. Williams IIIR. Williams IIIC,36,5-6,0-0,0-0,2,6,8,3,2,3,2,1,10,+9
M. SmartM. SmartPG,33,7-11,2-6,6-6,1,3,4,6,1,1,2,3,22,+5
J. BrownJ. BrownSG,38,7-15,0-3,1-2,1,5,6,6,1,0,7,3,15,-4
G. WilliamsG. WilliamsPF,20,4-7,3-6,1-1,1,2,3,2,0,0,0,3,12,+7
D. SchroderD. SchroderPG,17,3-8,0-1,0-0,0,1,1,3,2,0,2,3,6,+2
J. RichardsonJ. RichardsonSG,31,8-12,6-8,1-2,0,2,2,1,1,1,1,3,23,+3
