PHX,ATL,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,34,4-9,2-6,0-0,2,4,6,0,1,1,1,2,10,+1
M. BridgesM. BridgesSF,40,9-17,2-7,4-4,2,6,8,4,2,0,3,2,24,+3
D. AytonD. AytonC,24,3-5,0-0,0-0,1,8,9,4,1,0,0,1,6,0
C. PaulC. PaulPG,39,7-14,1-5,3-4,0,4,4,12,3,0,0,5,18,-4
D. BookerD. BookerSG,38,13-27,1-8,5-7,0,0,0,3,1,0,2,4,32,-6
J. SmithJ. SmithPF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-5
I. WainrightI. WainrightF,6,0-1,0-1,0-0,0,0,0,0,0,0,0,1,0,-4
C. JohnsonC. JohnsonSF,29,5-9,3-5,0-0,1,7,8,0,2,0,0,3,13,-10
J. McGeeJ. McGeeC,16,5-5,0-0,2-3,0,2,2,0,0,1,1,1,12,-12
E. PaytonE. PaytonPG,10,0-1,0-0,0-0,0,2,2,7,1,0,3,0,0,-8
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,31,8-13,3-5,0-0,3,7,10,1,0,0,2,3,19,+4
D. HunterD. HunterSF,21,4-7,1-1,4-7,0,2,2,1,0,0,1,5,13,-1
C. CapelaC. CapelaC,25,2-4,0-0,2-2,1,11,12,4,0,1,0,0,6,+1
T. YoungT. YoungPG,36,16-25,6-11,5-7,0,0,0,5,1,0,4,1,43,+3
K. HuerterK. HuerterSG,37,7-15,5-10,0-0,0,3,3,3,1,0,2,3,19,-1
D. GallinariD. GallinariPF,23,3-9,2-6,4-4,0,6,6,3,1,0,1,3,12,+10
O. OkongwuO. OkongwuPF,15,0-1,0-0,1-2,2,2,4,1,1,0,1,2,1,+8
B. BogdanovicB. BogdanovicSG,36,4-8,3-7,0-0,0,2,2,6,1,0,4,4,11,+14
D. WrightD. WrightSG,16,0-2,0-1,0-0,0,2,2,1,1,0,0,0,0,+7
