OKC,POR,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. DiakiteM. DiakitePF,30,4-8,0-2,4-4,0,7,7,2,0,3,1,5,12,-1
D. BazleyD. BazleyPF,36,1-6,1-2,1-2,3,9,12,3,1,1,1,0,4,+5
L. DortL. DortSF,33,7-15,4-8,5-8,2,5,7,2,0,1,3,4,23,0
T. MannT. MannPG,32,4-17,1-9,0-0,1,2,3,0,1,0,0,0,9,+2
J. GiddeyJ. GiddeySG,36,7-15,2-6,0-0,2,5,7,3,1,0,4,2,16,-2
K. WilliamsK. WilliamsSF,23,4-8,2-4,0-1,3,3,6,4,2,0,1,1,10,-2
M. MuscalaM. MuscalaC,12,3-8,2-3,3-4,2,3,5,0,0,1,0,0,11,+6
T. MaledonT. MaledonPG,15,0-2,0-1,0-0,0,1,1,2,0,0,2,1,0,+1
T. JeromeT. JeromeSG,23,3-8,3-7,2-2,0,3,3,8,0,0,1,5,11,+6
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. SnellT. SnellSF,36,5-10,3-8,0-0,1,7,8,3,0,2,0,1,13,-11
J. NurkicJ. NurkicC,33,6-19,0-0,2-3,7,9,16,2,2,0,3,5,14,+7
C. McCollumC. McCollumSG,38,9-24,1-9,0-0,1,5,6,4,0,0,1,2,19,-9
A. SimonsA. SimonsSG,37,7-15,1-6,4-5,1,4,5,4,2,0,3,1,19,+5
C. EllebyC. EllebySG,27,3-8,1-2,0-0,2,6,8,2,0,1,0,1,7,+11
T. WatfordT. WatfordPF,20,4-5,0-1,0-0,2,2,4,0,1,0,2,4,8,-3
G. Brown IIIG. Brown IIIPF,16,3-6,0-2,1-2,2,1,3,0,1,1,0,1,7,-1
D. Smith Jr.D. Smith Jr.PG,16,3-7,0-0,0-0,2,1,3,3,0,0,2,1,6,-11
B. McLemoreB. McLemoreSG,18,0-7,0-5,0-0,0,1,1,0,0,0,1,2,0,-3
