MEM,ORL,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,29,8-19,2-9,3-5,2,4,6,0,1,1,1,3,21,+9
S. AdamsS. AdamsC,23,6-6,0-0,0-0,4,7,11,8,0,0,2,3,12,+13
J. MorantJ. MorantPG,29,14-21,1-3,4-4,0,5,5,7,0,2,4,1,33,+22
D. BaneD. BaneSG,26,3-12,1-6,0-0,1,7,8,3,1,0,0,2,7,+6
Z. WilliamsZ. WilliamsSG,25,4-8,3-6,0-0,0,1,1,2,1,0,0,2,11,+9
B. ClarkeB. ClarkePF,22,3-4,0-0,4-4,4,4,8,3,0,0,0,5,10,+7
K. AndersonK. AndersonSF,19,1-5,0-0,5-7,2,4,6,1,0,2,1,1,7,+11
K. TillieK. TillieSF,3,0-1,0-1,0-0,1,0,1,0,0,0,0,1,0,0
X. TillmanX. TillmanC,3,2-2,1-1,0-0,0,2,2,0,0,0,0,0,5,0
T. JonesT. JonesPG,17,5-10,0-1,0-2,0,1,1,5,1,0,0,0,10,-1
J. KoncharJ. KoncharSG,20,1-4,1-4,0-0,0,3,3,2,1,0,0,1,3,+11
D. MeltonD. MeltonSG,22,6-13,4-8,0-0,2,8,10,2,1,0,0,2,16,+14
J. CulverJ. CulverG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,27,5-9,3-5,2-2,0,1,1,3,0,0,0,2,15,-13
W. Carter Jr.W. Carter Jr.C,23,4-10,0-5,4-6,2,8,10,2,0,0,2,4,12,-14
M. BambaM. BambaC,20,1-6,1-3,0-0,1,2,3,2,0,3,0,2,3,-20
C. AnthonyC. AnthonyPG,31,8-14,2-4,4-4,1,5,6,5,0,0,3,2,22,-9
J. SuggsJ. SuggsSG,29,5-12,3-6,4-5,0,4,4,5,1,0,1,3,17,-18
C. OkekeC. OkekePF,19,1-7,0-5,0-0,0,3,3,3,0,0,0,1,2,-25
A. SchofieldA. SchofieldSF,12,2-4,1-3,1-2,0,0,0,2,0,0,0,0,6,0
I. BrazdeikisI. BrazdeikisSF,16,5-8,2-4,1-2,1,2,3,0,0,0,1,1,13,+11
R. LopezR. LopezC,11,1-4,0-0,0-0,1,0,1,1,0,0,0,2,2,+12
M. WagnerM. WagnerC,17,2-5,2-5,3-6,0,5,5,2,0,0,1,2,9,+3
T. RossT. RossSG,11,2-5,0-2,0-0,1,0,1,0,0,0,1,0,4,-16
G. HarrisG. HarrisSG,24,3-6,3-6,1-2,0,1,1,2,1,0,0,1,10,-11
