PHX,WSH,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,25,3-10,1-5,0-0,1,6,7,0,0,1,0,2,7,+20
M. BridgesM. BridgesSF,26,5-10,2-4,0-0,1,2,3,4,1,1,1,1,12,+17
D. AytonD. AytonC,24,8-14,0-0,4-5,6,10,16,2,2,0,0,0,20,+15
C. PaulC. PaulPG,31,6-12,1-5,1-2,0,4,4,9,1,1,2,0,14,+30
D. BookerD. BookerSG,30,5-14,1-6,0-0,1,6,7,5,0,0,1,2,11,+23
J. SmithJ. SmithPF,22,3-7,1-3,1-2,4,1,5,1,0,1,1,3,8,-2
I. WainrightI. WainrightF,12,1-4,0-0,0-1,1,0,1,0,0,0,0,1,2,-19
J. JacksonJ. JacksonF,9,0-5,0-3,0-0,0,0,0,2,0,0,0,1,0,-13
C. JohnsonC. JohnsonSF,18,5-8,2-4,0-0,0,3,3,2,0,0,0,2,12,+13
J. McGeeJ. McGeeC,14,3-5,0-0,0-0,3,7,10,1,1,3,1,1,6,+15
B. BiyomboB. BiyomboC,10,0-4,0-0,1-2,3,3,6,0,1,0,1,2,1,-15
E. PaytonE. PaytonPG,21,1-6,0-1,0-2,0,2,2,0,0,0,3,1,2,-9
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,24,3-12,1-5,2-3,0,6,6,1,0,2,0,0,9,-27
T. BryantT. BryantC,17,2-6,1-2,0-0,0,4,4,0,0,0,1,2,5,-15
S. DinwiddieS. DinwiddiePG,23,1-5,0-2,2-2,0,2,2,3,0,0,2,2,4,-19
A. HolidayA. HolidayPG,22,5-10,0-2,1-2,1,0,1,3,1,0,1,0,11,-18
K. Caldwell-PopeK. Caldwell-PopeSG,24,3-9,1-4,1-1,0,1,1,0,2,0,1,0,8,-15
A. GillA. GillPF,4,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,+7
R. HachimuraR. HachimuraPF,24,2-7,0-1,0-0,1,5,6,0,0,0,0,2,4,0
D. BertansD. BertansSF,7,0-1,0-1,1-1,0,0,0,0,0,0,1,3,1,-2
C. KispertC. KispertSF,20,2-5,1-4,0-0,2,2,4,0,0,0,0,2,5,+5
D. AvdijaD. AvdijaSF,21,3-6,0-1,0-0,0,5,5,2,1,0,0,4,6,+2
M. HarrellM. HarrellC,23,5-12,0-0,5-5,1,6,7,2,0,1,1,1,15,+2
D. GaffordD. GaffordC,7,1-4,0-0,1-1,3,0,3,1,1,0,0,1,3,-2
R. NetoR. NetoPG,22,3-8,1-2,2-4,0,3,3,2,3,0,2,0,9,+7
