MIL,POR,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,25,7-12,4-7,11-15,1,8,9,6,0,1,1,1,29,+28
K. MiddletonK. MiddletonSF,24,6-13,2-7,0-0,1,2,3,7,5,1,1,2,14,+26
B. PortisB. PortisC,24,11-13,6-8,2-3,0,4,4,5,1,2,1,1,30,+32
J. HolidayJ. HolidayPG,27,3-4,1-1,2-2,1,1,2,7,1,0,2,2,9,+36
G. AllenG. AllenSG,25,3-6,2-4,0-0,0,4,4,1,0,0,0,0,8,+32
S. OjeleyeS. OjeleyePF,8,2-2,2-2,1-2,0,0,0,0,0,0,0,0,7,+2
S. MamukelashviliS. MamukelashviliPF,7,2-3,1-1,0-0,0,3,3,2,0,0,1,0,5,+4
T. AntetokounmpoT. AntetokounmpoSF,6,0-1,0-0,0-0,0,0,0,0,0,0,1,1,0,+1
J. NworaJ. NworaSF,12,3-8,1-4,0-0,2,1,3,2,0,0,0,1,7,-3
G. MonroeG. MonroeC,15,3-7,0-0,0-0,3,3,6,1,1,0,1,4,6,-3
W. MatthewsW. MatthewsSG,10,0-2,0-2,0-0,0,0,0,1,0,0,1,0,0,-7
P. ConnaughtonP. ConnaughtonSG,17,1-5,1-4,0-0,1,5,6,0,0,1,0,3,3,+5
R. HoodR. HoodSG,8,2-4,0-2,0-0,1,1,2,0,0,0,0,0,4,-8
D. DiVincenzoD. DiVincenzoSG,20,4-10,2-7,0-0,0,2,2,1,0,0,1,1,10,+2
L. WiggintonL. WiggintonG,12,2-2,1-1,0-0,0,0,0,3,1,1,0,2,5,-2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. SnellT. SnellSF,22,3-6,3-6,0-0,0,1,1,0,1,1,1,2,9,-21
J. NurkicJ. NurkicC,25,5-6,0-0,1-3,3,7,10,3,0,2,3,2,11,-36
C. McCollumC. McCollumSG,27,7-18,1-8,2-2,1,1,2,6,1,0,0,0,17,-29
A. SimonsA. SimonsSG,28,7-17,5-13,0-0,1,0,1,3,1,0,5,0,19,-35
C. EllebyC. EllebySG,24,1-5,0-3,0-0,0,3,3,1,0,0,1,3,2,-10
J. WinslowJ. WinslowPF,20,3-5,0-1,0-0,0,7,7,1,0,1,1,2,6,-20
T. WatfordT. WatfordPF,24,3-3,0-0,1-3,1,3,4,2,0,1,2,5,7,+2
G. Brown IIIG. Brown IIIPF,17,4-7,1-2,1-3,2,2,4,0,1,1,1,3,10,0
K. BlevinsK. BlevinsSF,6,1-2,0-0,0-0,0,0,0,1,0,0,0,1,2,-2
D. Smith Jr.D. Smith Jr.PG,20,2-3,0-0,2-4,1,1,2,6,2,0,1,0,6,+6
B. McLemoreB. McLemoreSG,28,5-13,4-12,5-6,0,4,4,2,0,0,1,0,19,0
