OKC,SAC,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. DiakiteM. DiakitePF,24,4-6,0-2,1-3,2,6,8,0,0,0,0,2,9,-4
D. BazleyD. BazleyPF,37,6-14,1-3,5-6,2,5,7,1,3,0,2,0,18,-6
T. MannT. MannPG,32,6-18,3-9,1-2,0,3,3,3,1,0,2,3,16,+1
T. JeromeT. JeromeSG,27,3-7,0-3,0-0,0,2,2,6,2,0,1,5,6,-9
J. GiddeyJ. GiddeySG,38,10-19,1-5,3-5,0,4,4,8,0,0,4,2,24,-8
K. WilliamsK. WilliamsSF,17,2-6,1-2,0-0,0,5,5,1,0,1,3,1,5,-6
D. FavorsD. FavorsC,16,2-3,0-0,0-0,0,2,2,0,2,0,1,2,4,-10
A. PokusevskiA. PokusevskiC,26,5-9,2-5,0-0,3,6,9,3,0,0,1,0,12,-3
T. MaledonT. MaledonPG,23,4-5,1-1,0-0,0,1,1,1,0,0,0,1,9,-5
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,37,8-17,2-6,6-9,1,8,9,5,3,0,0,1,24,-2
M. HarklessM. HarklessSF,38,7-14,4-8,0-0,1,10,11,2,1,1,2,4,18,+22
R. HolmesR. HolmesC,25,6-7,0-0,2-3,2,4,6,0,1,1,3,3,14,+3
D. MitchellD. MitchellPG,36,7-15,3-9,0-0,0,1,1,2,1,0,2,1,17,+13
T. HaliburtonT. HaliburtonPG,40,5-13,0-2,3-3,2,4,6,17,2,1,4,1,13,+4
C. MetuC. MetuPF,21,4-8,0-1,1-4,0,7,7,0,3,0,0,0,9,0
A. LenA. LenC,8,1-1,0-0,0-0,0,1,1,4,0,0,0,1,2,0
D. JonesD. JonesC,15,2-2,0-0,3-3,0,3,3,0,1,1,1,2,7,+7
B. HieldB. HieldSG,20,3-6,3-6,0-0,1,2,3,0,1,0,3,2,9,+3
