DET,MIN,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,32,3-11,1-4,3-3,0,2,2,5,0,1,1,2,10,+5
S. BeyS. BeySF,34,7-16,6-11,4-5,1,7,8,3,0,1,0,0,24,-2
I. StewartI. StewartC,33,2-7,0-1,1-3,8,4,12,1,0,4,2,2,5,+6
C. JosephC. JosephPG,28,6-10,3-4,0-0,0,2,2,4,1,2,4,4,15,-12
H. DialloH. DialloSG,22,5-11,0-2,1-2,2,4,6,0,2,0,0,4,11,+7
K. OlynykK. OlynykPF,14,1-6,1-4,0-0,1,1,2,4,0,0,0,3,3,-17
T. LylesT. LylesPF,17,6-13,1-3,3-4,1,6,7,1,0,0,0,2,16,-20
F. JacksonF. JacksonPG,24,4-9,0-1,1-2,1,3,4,1,1,0,0,0,9,-4
K. HayesK. HayesPG,24,5-7,0-0,0-0,0,3,3,8,1,1,3,4,10,-9
R. McGruderR. McGruderG,12,1-5,0-2,0-0,0,1,1,1,1,0,0,1,2,-19
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,26,1-3,0-0,0-0,2,3,5,1,0,1,1,2,2,-3
A. EdwardsA. EdwardsSF,35,4-12,2-6,7-9,0,2,2,5,2,0,0,3,17,-1
K. TownsK. TownsC,38,11-18,2-3,0-0,3,9,12,2,0,1,3,2,24,+8
P. BeverleyP. BeverleyPG,30,3-8,1-4,3-3,0,6,6,2,1,0,1,5,10,+3
D. RussellD. RussellPG,30,7-18,3-7,5-5,1,4,5,8,1,0,1,1,22,+11
T. PrinceT. PrincePF,2,1-3,0-0,0-0,1,0,1,0,0,0,0,0,2,+1
J. McDanielsJ. McDanielsPF,25,5-8,3-4,0-0,0,4,4,0,0,3,1,0,13,+4
N. ReidN. ReidC,10,1-2,1-1,0-0,1,1,2,0,1,1,2,2,3,+5
J. McLaughlinJ. McLaughlinPG,16,2-3,0-1,0-0,1,3,4,4,0,1,0,0,4,+14
M. BeasleyM. BeasleySG,22,7-15,5-9,1-2,2,7,9,1,1,0,1,2,20,+20
J. NowellJ. NowellSG,7,0-1,0-1,1-2,0,1,1,4,0,0,0,2,1,+3
