BKN,DEN,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. GriffinB. GriffinPF,30,7-12,5-7,0-0,0,4,4,2,0,0,1,1,19,-23
J. JohnsonJ. JohnsonPF,27,2-7,1-4,0-0,0,4,4,0,1,0,2,6,5,-18
K. EdwardsK. EdwardsSF,20,1-4,0-1,0-0,2,4,6,1,1,0,0,0,2,-18
P. MillsP. MillsPG,31,5-14,4-12,0-0,0,4,4,2,2,0,1,2,14,-3
K. IrvingK. IrvingPG,41,10-26,3-9,4-5,2,3,5,11,1,3,2,3,27,-19
B. BrownB. BrownSF,13,3-4,1-1,3-5,3,2,5,1,0,0,0,0,10,-9
D. SharpeD. SharpeC,14,1-2,0-1,2-2,0,1,1,1,0,1,2,2,4,-1
J. CarterJ. CarterPG,4,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0,-2
D. BembryD. BembrySG,28,0-2,0-0,3-4,1,2,3,2,2,3,0,3,3,-1
C. ThomasC. ThomasSG,32,7-16,2-6,4-6,0,3,3,4,1,2,1,2,20,-6
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,20,5-8,1-3,1-1,2,3,5,1,1,0,0,1,12,+21
A. GordonA. GordonPF,33,6-14,2-4,3-4,4,5,9,7,1,0,1,3,17,+29
W. BartonW. BartonSF,33,7-12,2-7,5-6,0,6,6,4,0,1,2,2,21,+27
N. JokicN. JokicC,30,12-15,0-2,3-4,1,11,12,10,2,1,2,1,27,+27
M. MorrisM. MorrisPG,31,6-12,0-4,0-0,1,4,5,8,0,0,0,0,12,+30
Z. NnajiZ. NnajiPF,20,4-5,2-2,0-0,1,0,1,0,0,0,1,3,10,-9
D. CousinsD. CousinsC,16,2-6,1-2,0-2,1,8,9,2,0,0,1,3,5,-7
F. CampazzoF. CampazzoPG,2,1-1,1-1,0-0,0,0,0,0,1,0,0,1,3,0
M. HowardM. HowardPG,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0
B. HylandB. HylandPG,17,2-9,0-2,2-2,0,5,5,2,1,0,2,3,6,-10
A. RiversA. RiversSG,8,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-5
B. ForbesB. ForbesSG,25,4-9,1-4,2-2,1,2,3,3,1,0,1,2,11,-3
D. ReedD. ReedSG,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
