TOR,CHA,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,43,10-16,2-4,2-5,2,9,11,8,0,1,4,3,24,+9
O. AnunobyO. AnunobySF,38,8-18,2-7,2-4,5,4,9,2,3,0,2,3,20,+16
S. BarnesS. BarnesSF,31,4-9,1-2,6-7,0,8,8,3,1,0,2,5,15,+7
F. VanVleetF. VanVleetSG,37,7-14,6-11,0-0,1,4,5,5,1,1,5,2,20,+2
G. Trent Jr.G. Trent Jr.SG,34,8-16,4-9,4-5,0,3,3,2,2,1,2,3,24,-3
C. BoucherC. BoucherPF,19,3-5,0-1,2-2,2,4,6,0,1,2,0,2,8,+23
P. AchiuwaP. AchiuwaPF,15,1-3,0-1,3-4,2,2,4,1,1,0,2,0,5,+3
Y. WatanabeY. WatanabeSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
K. BirchK. BirchC,8,0-2,0-0,0-0,2,1,3,0,0,0,0,1,0,+2
M. FlynnM. FlynnPG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
D. BantonD. BantonPG,11,0-1,0-0,0-2,0,2,2,0,0,0,0,1,0,+13
S. MykhailiukS. MykhailiukSG,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,+1
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,6,1-3,1-2,0-0,0,1,1,0,0,0,0,0,3,-6
M. BridgesM. BridgesSF,42,8-17,2-7,7-7,1,5,6,5,3,2,3,4,25,-6
M. PlumleeM. PlumleeC,28,3-3,0-0,0-0,2,5,7,4,2,0,1,2,6,-11
L. BallL. BallPG,44,5-19,1-6,4-5,3,1,4,9,4,0,7,5,15,-10
T. RozierT. RozierSG,41,8-19,4-11,0-0,0,5,5,6,0,0,1,2,20,-5
P.J. WashingtonP.J. WashingtonPF,32,7-14,1-6,0-0,1,8,9,2,1,1,0,2,15,-5
I. SmithI. SmithPG,8,0-3,0-0,0-0,0,0,0,0,0,0,1,1,0,-14
K. Oubre Jr.K. Oubre Jr.SG,38,7-17,0-8,3-4,2,4,6,2,1,1,0,3,17,-18
