GS,OKC,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
O. Porter Jr.O. Porter Jr.SF,15,1-3,0-2,0-0,0,0,0,1,1,0,0,1,2,-2
A. WigginsA. WigginsSF,35,6-15,3-9,0-0,0,5,5,0,1,1,3,3,15,+6
K. LooneyK. LooneyC,27,4-6,0-0,0-0,1,6,7,1,2,1,2,3,8,+2
S. CurryS. CurryPG,37,6-12,4-10,2-2,0,9,9,10,1,0,4,2,18,+4
K. ThompsonK. ThompsonSG,29,6-15,3-8,6-6,0,2,2,2,2,1,0,2,21,0
J. KumingaJ. KumingaPF,23,6-11,0-3,4-7,2,2,4,4,0,0,2,1,16,+12
A. IguodalaA. IguodalaF,6,1-1,1-1,0-0,0,2,2,2,1,0,0,1,3,+8
J. Toscano-AndersonJ. Toscano-AndersonSF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. LeeD. LeeSG,14,2-4,1-2,1-2,0,1,1,1,0,0,0,0,6,+15
G. Payton IIG. Payton IISG,14,2-3,1-2,0-0,1,1,2,0,2,0,0,0,5,+4
J. PooleJ. PooleSG,30,5-8,1-4,0-0,2,6,8,8,2,0,3,4,11,+17
M. MoodyM. MoodySG,9,2-4,1-2,0-0,0,0,0,1,0,0,1,2,5,-6
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,37,8-16,2-4,2-4,2,6,8,0,1,0,1,1,20,-5
L. DortL. DortSF,38,9-21,3-12,5-7,3,1,4,1,3,0,5,3,26,-6
D. FavorsD. FavorsC,26,1-1,0-0,2-2,4,3,7,0,0,0,0,2,4,-1
T. MannT. MannPG,35,4-13,3-7,0-0,0,3,3,4,2,0,3,1,11,0
J. GiddeyJ. GiddeySG,30,6-16,0-3,4-4,3,8,11,7,1,0,4,3,16,-2
M. DiakiteM. DiakitePF,14,3-4,0-0,0-0,2,3,5,0,0,1,0,1,6,-8
K. WilliamsK. WilliamsSF,31,5-11,2-6,0-0,2,5,7,5,1,1,2,0,12,-12
T. MaledonT. MaledonPG,10,0-0,0-0,0-0,1,1,2,1,0,0,2,2,0,-12
T. JeromeT. JeromeSG,19,1-8,1-4,0-0,1,2,3,3,0,0,0,1,3,-14
