NY,UTAH,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,38,10-20,2-5,8-12,2,4,6,5,1,0,5,2,30,-3
M. RobinsonM. RobinsonC,36,8-11,0-0,3-6,10,11,21,1,2,3,0,1,19,+7
A. BurksA. BurksSG,31,2-10,0-4,1-1,0,6,6,1,1,0,2,4,5,+8
E. FournierE. FournierSG,31,5-12,4-8,2-2,2,2,4,1,2,0,2,5,16,+7
R. BarrettR. BarrettSG,43,8-25,1-7,6-8,4,3,7,6,0,0,1,4,23,-1
O. ToppinO. ToppinPF,10,0-3,0-2,0-0,1,1,2,0,0,0,0,0,0,-6
C. ReddishC. ReddishSF,15,1-4,0-2,4-4,0,2,2,0,1,0,2,1,6,-21
N. NoelN. NoelC,12,0-1,0-0,0-2,1,2,3,0,1,0,1,3,0,-16
I. QuickleyI. QuickleySG,24,2-9,1-5,0-0,0,5,5,4,0,0,3,3,5,-20
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,32,2-8,2-8,0-0,1,3,4,0,0,1,1,2,6,-8
B. BogdanovicB. BogdanovicSF,32,6-14,2-7,6-6,1,3,4,1,0,0,0,4,20,-12
U. AzubuikeU. AzubuikeC,28,3-5,0-0,1-2,6,8,14,0,0,3,1,4,7,+10
M. ConleyM. ConleyPG,30,5-17,2-10,6-6,0,3,3,7,0,1,1,4,18,+16
D. MitchellD. MitchellSG,36,13-26,2-10,4-6,3,4,7,6,4,1,4,2,32,-2
E. PaschallE. PaschallPF,17,2-4,1-3,2-2,0,2,2,1,0,0,0,0,7,+21
H. WhitesideH. WhitesideC,20,0-1,0-0,3-4,1,7,8,1,0,0,0,6,3,-1
J. ClarksonJ. ClarksonPG,22,6-12,3-9,1-1,1,1,2,2,0,0,1,4,16,+18
T. ForrestT. ForrestSG,20,2-6,0-1,0-0,1,4,5,1,2,0,1,0,4,+5
J. ButlerJ. ButlerSG,4,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-2
