IND,ATL,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. CraigT. CraigSF,29,3-9,0-3,1-1,1,7,8,1,2,0,1,2,7,-28
G. BitadzeG. BitadzeC,30,6-11,2-4,0-1,0,2,2,2,2,3,1,4,14,-6
C. DuarteC. DuarteSG,35,8-16,2-6,7-7,2,0,2,4,1,1,4,0,25,-17
L. StephensonL. StephensonG,34,7-15,0-2,10-12,4,5,9,8,0,0,1,2,24,-3
K. SykesK. SykesG,31,4-12,2-5,0-0,0,0,0,2,0,0,2,4,10,-12
O. BrissettO. BrissettSF,29,3-7,1-2,8-10,4,2,6,2,2,0,2,3,15,-11
D. Washington Jr.D. Washington Jr.PG,28,3-14,2-8,2-2,1,5,6,2,3,0,2,0,10,-18
T. TaylorT. TaylorSG,24,3-9,1-1,0-0,6,4,10,1,0,0,0,1,7,-10
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,21,9-14,2-4,0-0,1,2,3,1,0,1,0,4,20,+20
D. HunterD. HunterSF,25,2-7,1-3,3-4,0,3,3,4,0,0,2,2,8,+14
C. CapelaC. CapelaC,21,3-4,0-0,0-2,3,9,12,3,3,0,0,2,6,+16
T. YoungT. YoungPG,30,13-20,6-9,2-2,0,1,1,11,0,1,5,2,34,+23
K. HuerterK. HuerterSG,31,5-9,2-5,0-0,1,3,4,4,0,1,2,4,12,+25
D. GallinariD. GallinariPF,23,2-2,0-0,5-6,1,4,5,3,2,1,0,1,9,+9
O. OkongwuO. OkongwuPF,17,6-6,0-0,2-2,1,2,3,1,1,1,1,6,14,+7
K. Knox IIK. Knox IIF,7,1-3,0-1,0-0,0,1,1,1,0,0,0,1,2,-5
G. DiengG. DiengC,8,3-4,2-2,0-0,3,3,6,0,0,0,2,0,8,-5
B. BogdanovicB. BogdanovicSG,21,5-11,3-6,0-0,0,2,2,2,0,0,0,2,13,+4
D. WrightD. WrightSG,24,2-5,0-0,0-0,0,3,3,5,1,1,1,2,4,+7
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,7,1-5,1-3,0-0,0,0,0,1,1,1,0,0,3,-5
S. MaysS. MaysSG,6,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-5
