BOS,BKN,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,27,7-11,2-6,3-4,0,5,5,4,1,0,0,0,19,+32
A. HorfordA. HorfordC,22,3-8,1-5,2-2,1,4,5,7,1,2,2,1,9,+31
R. Williams IIIR. Williams IIIC,27,6-9,0-0,0-0,6,5,11,1,1,3,0,0,12,+35
M. SmartM. SmartPG,28,8-16,6-13,0-0,0,1,1,3,1,1,1,2,22,+40
J. BrownJ. BrownSG,28,9-12,1-3,3-4,0,7,7,9,0,0,3,0,22,+40
G. WilliamsG. WilliamsPF,18,2-4,1-2,0-0,0,1,1,1,1,2,1,3,5,-9
B. FernandoB. FernandoF,5,2-3,0-0,0-0,0,1,1,0,0,0,0,1,4,+10
A. NesmithA. NesmithSF,14,2-7,0-3,0-0,1,1,2,0,0,0,0,1,4,+2
E. FreedomE. FreedomC,12,3-6,1-1,0-0,3,9,12,2,0,0,1,2,7,+9
D. SchroderD. SchroderPG,19,4-7,1-3,2-2,0,4,4,1,0,0,2,1,11,-13
P. PritchardP. PritchardPG,14,4-6,1-2,0-0,0,0,0,3,0,0,1,2,9,+2
J. RichardsonJ. RichardsonSG,15,0-1,0-1,2-2,0,2,2,1,1,0,1,0,2,-13
R. LangfordR. LangfordSG,12,0-1,0-1,0-2,0,1,1,0,0,0,1,1,0,+9
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. GriffinB. GriffinPF,16,3-7,0-4,0-0,3,3,6,2,0,0,2,1,6,-38
B. BrownB. BrownSF,32,2-6,0-0,0-0,0,3,3,1,0,1,3,1,4,-42
K. EdwardsK. EdwardsSF,15,0-3,0-2,0-0,2,1,3,0,0,0,1,0,0,-26
P. MillsP. MillsPG,22,2-8,1-3,0-0,0,2,2,3,0,0,1,1,5,-47
D. BembryD. BembrySG,20,3-12,0-3,0-0,1,2,3,1,0,0,1,5,6,-35
J. JohnsonJ. JohnsonPF,24,8-11,1-2,0-2,0,3,3,5,1,1,2,3,17,+15
D. Duke Jr.D. Duke Jr.SF,28,5-13,1-6,2-2,1,2,3,2,4,0,0,1,13,-2
D. SharpeD. SharpeC,24,1-6,0-0,0-4,6,3,9,2,0,1,1,2,2,-3
J. CarterJ. CarterPG,31,7-16,7-13,0-0,0,3,3,3,0,1,0,2,21,+3
C. ThomasC. ThomasSG,28,7-17,0-3,3-5,2,3,5,3,1,0,2,2,17,0
