LAC,MEM,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,23,3-7,1-3,0-0,1,2,3,0,1,0,0,2,7,-22
M. Morris Sr.M. Morris Sr.SF,22,1-6,0-3,1-2,0,4,4,3,0,0,1,3,3,-15
N. PowellN. PowellSF,23,6-12,1-3,3-3,1,1,2,2,1,2,2,2,16,-12
I. ZubacI. ZubacC,14,0-1,0-0,2-4,3,4,7,1,0,0,1,3,2,-16
R. JacksonR. JacksonPG,24,5-14,2-5,0-0,0,0,0,3,2,0,6,0,12,-24
R. CovingtonR. CovingtonPF,29,4-10,1-4,5-7,2,4,6,1,1,2,1,3,14,-8
I. HartensteinI. HartensteinC,28,7-11,1-2,4-4,3,4,7,4,1,2,1,0,19,-11
T. MannT. MannSG,26,5-10,1-3,3-4,1,5,6,7,2,0,1,1,14,-7
L. KennardL. KennardSG,15,2-4,1-1,0-0,0,3,3,2,0,0,1,1,5,-17
A. CoffeyA. CoffeySG,24,5-8,3-5,0-0,0,1,1,0,0,0,2,1,13,-2
B. Boston Jr.B. Boston Jr.SG,12,2-6,0-2,0-0,0,1,1,2,0,1,1,1,4,+4
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,26,8-14,1-3,9-9,8,3,11,1,1,1,0,3,26,+6
S. AdamsS. AdamsC,20,3-4,0-0,3-3,3,5,8,3,0,0,2,1,9,+24
J. MorantJ. MorantPG,26,12-19,1-2,5-9,2,5,7,5,1,0,5,3,30,+21
D. BaneD. BaneSG,26,2-9,0-5,1-1,2,2,4,4,2,0,1,3,5,+15
Z. WilliamsZ. WilliamsSG,22,4-6,2-2,0-0,0,1,1,0,1,0,1,4,10,+5
B. ClarkeB. ClarkePF,24,9-12,0-0,0-0,1,6,7,4,0,3,0,1,18,+8
K. AndersonK. AndersonSF,24,5-10,0-1,1-1,2,6,8,0,3,0,0,1,11,+19
T. JonesT. JonesPG,17,3-10,1-5,0-0,0,2,2,3,0,0,0,0,7,+9
J. KoncharJ. KoncharSG,23,4-6,2-2,0-0,2,3,5,1,1,0,1,1,10,+15
D. MeltonD. MeltonSG,28,2-10,1-4,1-2,1,1,2,4,3,2,2,1,6,+12
J. CulverJ. CulverG,5,1-3,1-2,0-0,0,0,0,1,0,0,1,0,3,-4
