MIL,LAL,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,35,17-20,2-2,8-13,4,10,14,8,1,2,0,5,44,+23
K. MiddletonK. MiddletonSF,34,8-19,3-10,2-3,1,4,5,4,1,0,4,5,21,+16
B. PortisB. PortisC,33,9-18,5-9,0-0,1,6,7,1,2,0,1,4,23,+3
J. HolidayJ. HolidayPG,37,7-12,1-3,0-0,1,6,7,10,2,1,3,3,15,+7
G. AllenG. AllenSG,27,5-9,1-2,1-2,0,1,1,4,1,0,0,1,12,+12
S. MamukelashviliS. MamukelashviliPF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
T. AntetokounmpoT. AntetokounmpoSF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
G. MonroeG. MonroeC,15,0-3,0-0,0-0,1,1,2,0,0,1,0,0,0,+2
W. MatthewsW. MatthewsSG,14,0-2,0-1,0-0,0,1,1,1,0,0,0,3,0,+4
P. ConnaughtonP. ConnaughtonSG,24,3-6,2-5,0-0,1,1,2,0,2,0,0,2,8,-1
D. DiVincenzoD. DiVincenzoSG,20,3-7,1-4,1-2,2,1,3,3,1,0,3,1,8,+9
L. WiggintonL. WiggintonG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,37,8-10,0-0,6-10,4,5,9,4,1,3,1,2,22,-8
L. JamesL. JamesSF,35,11-19,3-7,2-4,0,5,5,8,0,0,4,4,27,-25
T. ArizaT. ArizaSF,20,3-5,1-3,0-0,0,1,1,2,2,0,0,3,7,-19
R. WestbrookR. WestbrookPG,26,3-11,0-1,4-7,2,8,10,5,0,1,4,1,10,-16
M. MonkM. MonkSG,32,7-16,3-10,3-4,0,3,3,5,2,0,2,2,20,-6
S. JohnsonS. JohnsonPF,26,7-13,1-4,1-3,3,3,6,1,0,0,1,5,16,+4
A. BradleyA. BradleyPG,16,0-2,0-2,0-0,0,1,1,0,0,0,1,1,0,-5
A. ReavesA. ReavesSG,20,4-6,2-4,0-0,1,0,1,0,0,0,0,0,10,-2
T. Horton-TuckerT. Horton-TuckerSG,29,1-3,0-1,2-2,2,3,5,3,2,2,3,2,4,+2
