MIN,SAC,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,21,4-7,0-0,1-2,7,4,11,0,0,1,1,2,9,-1
A. EdwardsA. EdwardsSF,26,2-12,0-3,1-2,1,2,3,3,1,0,2,2,5,+6
K. TownsK. TownsC,28,10-14,2-3,3-3,3,6,9,3,0,0,3,4,25,+13
P. BeverleyP. BeverleyPG,23,3-11,3-7,0-0,0,3,3,5,0,2,0,2,9,+3
D. RussellD. RussellPG,24,6-15,1-7,1-2,0,1,1,7,1,0,1,1,14,+12
T. PrinceT. PrincePF,19,4-7,3-5,0-0,0,2,2,2,4,0,2,3,11,+18
J. McDanielsJ. McDanielsPF,21,3-9,2-4,0-0,0,4,4,1,0,0,0,4,8,+16
N. KnightN. KnightF,3,0-0,0-0,3-4,0,1,1,0,0,0,0,1,3,-4
J. LaymanJ. LaymanSF,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-2
J. OkogieJ. OkogieSF,3,0-2,0-2,0-0,0,0,0,0,0,0,1,0,0,-2
N. ReidN. ReidC,17,4-6,2-3,2-2,1,3,4,1,1,0,1,1,12,+11
J. McLaughlinJ. McLaughlinPG,19,5-5,1-1,0-0,1,4,5,11,1,1,0,1,11,+18
M. BeasleyM. BeasleySG,19,7-11,7-8,0-0,0,2,2,0,1,0,1,2,21,+6
J. NowellJ. NowellSG,12,2-5,1-1,1-2,3,0,3,1,1,0,0,1,6,+8
L. BolmaroL. BolmaroSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,32,4-7,1-3,12-12,1,5,6,3,1,0,0,1,21,-14
M. HarklessM. HarklessSF,10,2-3,0-1,2-2,0,0,0,0,0,0,0,1,6,-2
D. JonesD. JonesC,29,9-11,0-0,0-0,0,6,6,5,0,2,2,4,18,-8
D. FoxD. FoxPG,35,11-22,4-6,3-4,1,6,7,6,1,0,5,3,29,-17
D. MitchellD. MitchellPG,30,3-11,2-7,0-0,1,1,2,4,1,0,5,3,8,-5
C. MetuC. MetuPF,34,5-7,0-0,4-4,0,8,8,4,0,0,3,3,14,-11
L. KingL. KingPF,18,1-6,0-3,0-0,0,1,1,3,0,1,0,1,2,-7
R. Woodard IIR. Woodard IISF,7,1-4,0-1,0-0,1,0,1,0,0,0,0,1,2,-3
A. LenA. LenC,19,2-3,0-0,0-0,0,3,3,1,1,0,3,1,4,-12
J. RamseyJ. RamseySG,26,3-9,2-4,2-4,1,3,4,3,0,0,1,2,10,-21
