SA,CLE,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,28,2-10,0-3,0-0,0,4,4,0,0,0,0,1,4,-22
K. JohnsonK. JohnsonSF,33,7-21,3-9,1-1,5,2,7,1,1,0,2,1,18,-21
J. PoeltlJ. PoeltlC,29,3-5,0-0,1-2,4,7,11,2,2,3,4,2,7,-15
D. WhiteD. WhitePG,32,6-13,2-5,3-4,1,3,4,3,2,1,1,3,17,-16
D. MurrayD. MurrayPG,34,7-17,0-1,2-2,2,4,6,9,0,0,2,2,16,-8
D. EubanksD. EubanksPF,2,0-0,0-0,0-0,0,2,2,0,0,0,0,0,0,+3
Z. CollinsZ. CollinsPF,18,2-6,0-1,1-2,3,4,7,3,1,0,2,4,5,-1
K. Bates-DiopK. Bates-DiopSF,2,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+3
J. LandaleJ. LandaleC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
L. Walker IVL. Walker IVSG,11,0-3,0-1,0-0,0,1,1,2,0,0,0,1,0,+7
D. VassellD. VassellSG,28,8-16,2-7,0-0,0,3,3,3,2,0,0,3,18,-5
J. PrimoJ. PrimoSG,22,2-7,0-5,0-0,0,1,1,1,0,0,2,0,4,+7
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,16,0-2,0-2,0-0,0,1,1,1,0,0,0,1,0,+6
I. OkoroI. OkoroSF,27,4-6,2-2,4-4,1,3,4,1,2,0,1,1,14,+14
J. AllenJ. AllenC,32,7-11,0-0,1-1,4,10,14,1,1,1,1,0,15,+11
E. MobleyE. MobleyC,33,6-15,0-2,6-7,3,9,12,2,1,1,1,0,18,+12
D. GarlandD. GarlandPG,30,12-15,3-3,0-0,0,5,5,6,1,0,6,2,27,+13
K. LoveK. LovePF,24,3-13,0-4,1-4,2,8,10,1,0,0,2,3,7,+6
L. StevensL. StevensF,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
C. OsmanC. OsmanSF,20,2-4,2-3,2-4,0,1,1,0,0,0,1,0,8,+9
E. DavisE. DavisC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
R. RondoR. RondoPG,22,1-3,1-2,2-2,0,3,3,4,1,0,1,3,5,+1
C. LeVertC. LeVertSG,28,4-11,1-3,2-2,0,1,1,2,1,0,0,2,11,+8
D. WindlerD. WindlerSG,2,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,-3
K. PangosK. PangosG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
B. GoodwinB. GoodwinG,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
