CHI,CHA,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,38,13-19,3-4,7-10,0,5,5,4,0,0,5,4,36,-8
J. GreenJ. GreenSF,34,3-5,0-2,0-0,1,2,3,3,1,0,0,2,6,+18
N. VucevicN. VucevicC,38,9-13,0-0,0-0,1,14,15,8,0,3,4,3,18,+19
C. WhiteC. WhitePG,38,6-14,3-10,0-0,0,3,3,3,0,1,0,2,15,+19
Z. LaVineZ. LaVineSG,40,8-18,5-10,6-7,0,7,7,5,0,0,2,2,27,+19
M. HillM. HillF,10,2-4,2-3,0-0,0,2,2,0,1,1,1,0,6,-10
T. Brown Jr.T. Brown Jr.SF,28,3-6,2-3,0-0,2,2,4,4,2,0,0,1,8,+17
T. BradleyT. BradleyC,10,1-2,0-0,0-2,1,0,1,0,0,0,0,2,2,-7
M. ThomasM. ThomasSG,4,1-1,1-1,0-0,0,0,0,0,0,0,0,1,3,-7
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. BridgesM. BridgesSF,39,7-16,2-8,6-6,0,5,5,5,1,0,1,3,22,+5
M. PlumleeM. PlumleeC,27,1-2,0-0,1-4,3,8,11,4,1,0,0,3,3,-12
L. BallL. BallPG,38,12-25,5-10,4-6,3,6,9,5,4,0,4,4,33,+6
T. RozierT. RozierSG,39,6-18,2-11,2-2,1,3,4,6,0,0,1,0,16,-7
K. Oubre Jr.K. Oubre Jr.SG,36,8-19,3-9,0-1,2,2,4,0,0,1,0,2,19,-20
P.J. WashingtonP.J. WashingtonPF,34,2-7,1-5,0-0,1,7,8,2,1,0,2,3,5,-14
N. RichardsN. RichardsC,13,3-3,0-0,3-4,1,0,1,0,0,0,0,1,9,-1
I. SmithI. SmithPG,15,1-4,0-0,0-0,1,1,2,4,0,0,0,0,2,-17
