MEM,DET,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,24,2-9,2-3,6-6,1,5,6,2,0,0,4,4,12,+2
S. AdamsS. AdamsC,26,6-9,0-0,4-9,7,7,14,5,0,1,1,1,16,+8
J. MorantJ. MorantPG,30,7-17,2-8,7-9,0,4,4,6,1,0,2,2,23,+15
D. BaneD. BaneSG,28,7-11,3-4,5-6,0,6,6,2,0,0,1,3,22,+19
Z. WilliamsZ. WilliamsSG,22,3-4,2-2,0-0,0,1,1,2,0,0,1,2,8,+9
B. ClarkeB. ClarkePF,20,4-8,0-0,6-10,5,4,9,3,1,1,1,3,14,+12
K. AndersonK. AndersonSF,26,6-11,0-1,1-2,3,8,11,2,1,1,2,5,13,+28
T. JonesT. JonesPG,17,1-6,0-1,0-0,0,0,0,5,2,0,0,1,2,+18
J. KoncharJ. KoncharSG,20,1-2,1-2,0-0,0,4,4,1,0,1,0,2,3,+6
D. MeltonD. MeltonSG,23,5-12,4-8,0-0,1,3,4,4,1,0,0,0,14,+9
J. CulverJ. CulverG,4,2-3,1-1,0-0,1,0,1,0,0,0,0,0,5,-1
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,29,7-13,0-4,6-7,0,4,4,4,1,2,3,3,20,-16
S. BeyS. BeySF,36,7-16,3-8,0-0,1,6,7,2,0,0,0,1,17,-20
I. StewartI. StewartC,17,5-7,0-0,0-0,2,0,2,2,1,2,0,5,10,-13
C. JosephC. JosephPG,31,2-8,0-2,0-0,0,2,2,9,0,1,0,4,4,-13
H. DialloH. DialloSG,31,7-13,1-4,2-3,2,8,10,3,0,1,0,3,17,-13
K. OlynykK. OlynykPF,21,3-9,0-4,3-3,2,5,7,2,0,0,1,1,9,-20
L. GarzaL. GarzaC,10,3-6,1-1,0-0,2,1,3,0,0,0,1,2,7,+8
F. JacksonF. JacksonPG,29,3-13,1-7,5-6,0,1,1,1,2,0,0,3,12,-17
K. HayesK. HayesPG,13,0-2,0-2,2-2,0,2,2,4,0,0,3,6,2,-13
R. McGruderR. McGruderG,23,4-7,1-3,0-0,1,1,2,0,0,1,1,1,9,-8
