BKN,WSH,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. GriffinB. GriffinPF,27,5-9,0-1,5-6,2,7,9,3,1,0,2,1,15,+4
K. EdwardsK. EdwardsSF,21,0-2,0-2,0-0,0,4,4,0,0,1,1,2,0,-3
P. MillsP. MillsPG,35,3-8,1-4,0-0,1,3,4,5,0,0,1,2,7,+9
K. IrvingK. IrvingPG,38,9-22,3-8,10-11,0,5,5,6,0,1,3,3,31,+3
C. ThomasC. ThomasSG,36,11-18,4-8,1-1,1,3,4,0,2,0,1,3,27,+7
J. JohnsonJ. JohnsonPF,27,4-8,0-2,5-6,1,2,3,3,1,0,0,5,13,0
B. BrownB. BrownSF,14,1-3,0-0,0-0,0,2,2,2,0,1,0,2,2,-4
D. Duke Jr.D. Duke Jr.SF,10,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0,-7
D. SharpeD. SharpeC,17,3-7,0-0,3-4,6,4,10,0,2,0,1,1,9,-3
J. CarterJ. CarterPG,14,3-5,2-4,0-0,1,0,1,0,0,0,1,2,8,-11
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,38,6-15,1-5,2-2,0,13,13,10,0,0,6,4,15,0
C. KispertC. KispertSF,30,2-13,2-8,0-0,3,3,6,1,1,0,0,1,6,+10
T. BryantT. BryantC,20,6-9,1-2,0-0,3,3,6,3,1,2,0,1,13,-1
R. NetoR. NetoPG,31,7-9,1-3,6-6,0,1,1,6,0,0,3,2,21,-6
K. Caldwell-PopeK. Caldwell-PopeSG,32,4-10,1-2,4-4,1,4,5,2,2,0,1,2,13,-7
A. GillA. GillPF,26,6-7,0-1,3-5,2,0,2,0,1,0,0,5,15,+6
R. HachimuraR. HachimuraPF,22,5-8,2-2,0-0,1,3,4,4,1,2,1,0,12,+11
D. AvdijaD. AvdijaSF,32,5-11,2-6,1-1,0,4,4,1,1,1,0,4,13,-5
C. WinstonC. WinstonPG,10,2-3,1-2,0-0,0,0,0,2,0,0,0,4,5,-3
