LAC,DAL,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,28,4-5,2-3,0-0,1,2,3,1,1,1,0,1,10,-14
M. Morris Sr.M. Morris Sr.SF,32,9-16,3-6,0-0,0,0,0,0,2,0,1,3,21,-7
N. PowellN. PowellSF,34,5-14,1-3,8-10,2,4,6,6,1,0,2,2,19,-7
I. ZubacI. ZubacC,26,3-4,0-0,2-5,0,3,3,1,0,0,3,3,8,-17
R. JacksonR. JacksonPG,33,7-14,0-2,4-5,0,4,4,8,0,1,2,5,18,-7
R. CovingtonR. CovingtonPF,10,2-4,0-2,0-0,0,2,2,0,1,0,1,2,4,+4
I. HartensteinI. HartensteinC,6,1-4,0-0,0-0,1,3,4,1,0,0,0,1,2,+2
T. MannT. MannSG,31,5-10,1-1,2-3,0,5,5,3,2,0,0,4,13,+8
L. KennardL. KennardSG,28,3-5,2-4,0-0,0,4,4,4,1,0,0,2,8,0
A. CoffeyA. CoffeySG,14,0-5,0-2,2-2,0,0,0,0,1,0,1,2,2,+3
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,41,5-10,2-6,0-0,1,6,7,1,3,0,3,4,12,+16
R. BullockR. BullockSF,37,3-7,2-6,3-3,0,4,4,1,0,0,0,3,11,+12
D. PowellD. PowellC,21,2-2,0-0,4-4,0,2,2,2,0,2,1,3,8,+13
J. BrunsonJ. BrunsonPG,37,3-12,0-3,5-5,0,5,5,4,0,0,2,0,11,+13
L. DoncicL. DoncicPG,40,17-26,7-14,10-14,0,9,9,6,1,1,7,4,51,+9
M. KleberM. KleberPF,27,3-6,1-4,1-1,5,4,9,2,0,0,0,4,8,-6
M. ChrissM. ChrissSF,5,0-3,0-1,0-0,2,0,2,0,0,0,0,0,0,-5
T. BurkeT. BurkePG,11,1-6,0-3,0-0,0,0,0,1,0,0,0,1,2,-6
F. NtilikinaF. NtilikinaPG,7,2-4,1-2,0-0,0,0,0,0,0,0,0,1,5,-5
J. GreenJ. GreenSG,14,2-2,0-0,0-0,0,3,3,2,0,0,0,3,4,-6
