MIL,PHX,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,30,5-14,0-3,8-14,0,7,7,8,0,1,3,1,18,-18
K. MiddletonK. MiddletonSF,33,9-15,1-6,2-2,0,1,1,3,0,0,2,2,21,-16
B. PortisB. PortisC,28,5-12,1-5,0-0,2,7,9,0,1,1,1,2,11,-7
J. HolidayJ. HolidayPG,34,7-12,3-4,4-4,1,4,5,4,0,0,3,3,21,-23
G. AllenG. AllenSG,25,3-8,2-6,0-0,1,1,2,1,1,0,0,2,8,-18
S. MamukelashviliS. MamukelashviliPF,6,0-0,0-0,0-0,1,0,1,0,0,1,0,1,0,-2
T. AntetokounmpoT. AntetokounmpoSF,8,3-3,0-0,0-0,1,0,1,0,0,1,1,1,6,-2
J. NworaJ. NworaSF,15,1-7,0-4,0-0,1,1,2,0,1,0,1,3,2,-5
G. MonroeG. MonroeC,13,3-4,0-0,3-5,3,3,6,0,2,0,0,1,9,-1
W. MatthewsW. MatthewsSG,14,1-1,1-1,0-0,0,0,0,0,0,0,0,2,3,-7
P. ConnaughtonP. ConnaughtonSG,17,1-7,1-7,0-0,0,2,2,0,1,0,0,1,3,-10
L. WiggintonL. WiggintonG,18,2-5,1-2,0-0,1,2,3,2,0,0,3,3,5,-11
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,32,3-11,2-9,2-2,1,7,8,2,0,0,0,3,10,+12
M. BridgesM. BridgesSF,39,7-11,2-5,2-3,0,1,1,2,2,0,1,3,18,+20
D. AytonD. AytonC,27,12-14,0-0,3-4,0,7,7,1,0,1,0,3,27,+21
C. PaulC. PaulPG,37,5-11,0-3,7-7,0,7,7,19,2,0,2,1,17,+20
D. BookerD. BookerSG,34,6-19,2-8,3-3,1,3,4,7,1,0,2,4,17,+11
I. WainrightI. WainrightF,10,0-0,0-0,1-2,0,2,2,1,0,1,0,0,1,+9
C. JohnsonC. JohnsonSF,26,6-8,3-4,0-0,3,5,8,3,2,0,2,1,15,+18
J. McGeeJ. McGeeC,15,6-9,0-1,0-0,2,2,4,0,3,0,1,2,12,-4
B. BiyomboB. BiyomboC,11,4-5,0-0,1-4,2,0,2,0,0,0,0,5,9,+9
E. PaytonE. PaytonPG,9,2-2,0-0,1-4,0,0,0,0,0,0,0,0,5,+4
