CHA,DET,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. BridgesM. BridgesSF,38,10-16,2-5,3-4,1,3,4,3,2,0,6,2,25,+15
M. PlumleeM. PlumleeC,22,3-5,0-0,1-2,4,6,10,3,0,0,1,2,7,+15
L. BallL. BallPG,32,10-14,7-9,4-5,3,2,5,12,4,0,2,2,31,+16
T. RozierT. RozierSG,37,9-18,3-9,4-4,2,8,10,11,4,0,3,3,25,+20
K. Oubre Jr.K. Oubre Jr.SG,31,4-13,1-10,2-3,0,6,6,1,0,0,1,5,11,+6
P.J. WashingtonP.J. WashingtonPF,29,5-7,3-5,0-0,0,5,5,5,1,0,1,3,13,+23
K. JonesK. JonesPF,2,1-2,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
J. ThorJ. ThorPF,4,2-2,1-1,0-0,0,1,1,0,1,0,0,0,5,-3
M. HarrellM. HarrellC,22,7-9,0-0,1-5,3,3,6,1,1,1,3,2,15,+10
N. RichardsN. RichardsC,4,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-3
J. BouknightJ. BouknightSG,19,3-11,1-3,0-0,2,2,4,0,0,1,0,2,7,+9
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,27,6-12,1-4,2-2,0,3,3,3,0,2,0,1,15,-10
S. BeyS. BeySF,35,8-16,3-8,6-6,3,1,4,3,2,1,3,2,25,-26
I. StewartI. StewartC,30,7-14,0-0,1-2,5,7,12,1,0,2,2,2,15,-12
C. JosephC. JosephPG,20,1-3,0-1,0-0,2,3,5,5,0,0,1,3,2,-8
C. CunninghamC. CunninghamPG,22,5-13,2-5,0-0,1,4,5,2,2,1,6,2,12,-17
K. OlynykK. OlynykPF,18,3-7,1-2,2-2,3,2,5,3,0,0,2,3,9,-10
L. GarzaL. GarzaC,4,1-1,0-0,0-0,1,0,1,1,0,0,0,0,2,+3
F. JacksonF. JacksonPG,9,0-5,0-4,0-0,0,0,0,1,0,0,1,0,0,-12
S. LeeS. LeePG,4,0-1,0-0,0-0,0,0,0,0,1,0,0,0,0,0
K. HayesK. HayesPG,28,5-9,1-2,0-0,1,2,3,12,1,0,1,4,11,-14
H. DialloH. DialloSG,27,8-14,0-2,0-6,0,7,7,0,3,0,2,3,16,-10
R. McGruderR. McGruderG,16,4-7,4-7,0-0,0,0,0,1,1,0,0,0,12,+6
