OKC,PHI,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,34,5-10,2-4,2-2,2,13,15,1,1,1,1,2,14,-6
L. DortL. DortSF,27,6-17,1-5,2-2,0,4,4,1,0,0,1,3,15,-11
D. FavorsD. FavorsC,28,8-13,0-2,0-0,5,4,9,0,1,3,1,2,16,-9
T. MannT. MannPG,19,1-8,0-4,0-0,0,1,1,0,0,0,0,2,2,-14
J. GiddeyJ. GiddeySG,24,2-7,1-2,4-4,1,6,7,5,0,1,4,2,9,-12
L. Waters IIIL. Waters IIIF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
I. RobyI. RobyF,12,1-4,0-2,0-0,0,0,0,0,2,0,2,2,2,-5
K. WilliamsK. WilliamsSF,24,2-4,0-2,3-4,3,7,10,4,0,1,0,2,7,-4
A. PokusevskiA. PokusevskiC,30,7-11,1-4,0-0,0,6,6,1,0,1,2,3,15,0
T. MaledonT. MaledonPG,17,1-6,1-4,0-0,0,0,0,2,1,1,2,1,3,-1
T. JeromeT. JeromeSG,17,0-7,0-5,0-0,0,0,0,5,1,0,2,2,0,-8
V. KrejciV. KrejciG,9,2-3,0-1,0-0,0,0,0,2,0,0,0,0,4,+5
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,36,7-16,2-3,1-1,3,8,11,3,0,3,0,1,17,+7
J. EmbiidJ. EmbiidC,35,8-25,1-7,8-11,4,15,19,4,1,5,4,1,25,+14
T. MaxeyT. MaxeyPG,32,9-14,2-4,4-5,2,3,5,2,0,0,1,2,24,+20
M. ThybulleM. ThybulleSG,31,4-7,0-2,2-2,1,2,3,0,3,0,1,3,10,+11
F. KorkmazF. KorkmazSG,29,1-2,0-0,3-4,0,1,1,4,1,0,0,1,5,0
D. GreenD. GreenSF,19,1-6,1-4,0-0,0,3,3,2,0,0,1,0,3,-1
G. NiangG. NiangSF,19,2-7,1-5,1-1,0,2,2,2,0,0,1,2,6,+10
P. ReedP. ReedSF,13,3-7,0-0,0-0,4,3,7,0,2,2,1,3,6,-1
S. MiltonS. MiltonSG,25,1-9,0-1,2-2,1,3,4,2,0,0,2,3,4,+1
I. JoeI. JoeSG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
C. Brown Jr.C. Brown Jr.G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
