SA,ATL,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,26,5-8,3-5,0-0,0,3,3,1,2,0,2,2,13,+22
K. JohnsonK. JohnsonSF,33,8-13,6-8,4-4,1,4,5,5,0,0,0,1,26,+18
J. PoeltlJ. PoeltlC,27,4-7,1-1,3-4,0,5,5,3,1,3,3,2,12,+39
D. MurrayD. MurrayPG,32,11-18,2-5,8-9,1,9,10,15,4,0,1,2,32,+33
D. VassellD. VassellSG,28,9-13,2-2,0-0,1,4,5,3,1,0,0,1,20,+40
D. CacokD. CacokPF,4,0-0,0-0,0-0,0,2,2,0,0,0,1,1,0,-9
Z. CollinsZ. CollinsPF,17,2-6,1-1,0-0,0,4,4,2,0,0,1,1,5,-15
K. Bates-DiopK. Bates-DiopSF,7,1-2,0-0,0-0,0,0,0,0,2,0,2,2,2,+6
J. WieskampJ. WieskampSF,4,0-1,0-1,0-0,1,0,1,1,0,0,0,1,0,-9
J. LandaleJ. LandaleC,4,1-2,0-1,0-0,0,0,0,0,0,0,1,1,2,-9
T. JonesT. JonesPG,16,4-6,0-0,1-1,0,2,2,4,1,0,0,1,9,-18
L. Walker IVL. Walker IVSG,13,0-3,0-1,2-2,0,2,2,0,0,0,2,2,2,-16
J. PrimoJ. PrimoSG,28,5-11,3-7,0-1,1,1,2,3,0,1,1,4,13,-7
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,21,2-8,0-3,0-0,2,1,3,1,0,0,2,3,4,-30
D. HunterD. HunterSF,26,5-11,0-4,0-0,0,2,2,0,0,0,0,4,10,-41
C. CapelaC. CapelaC,21,6-6,0-0,1-2,4,7,11,0,0,1,3,0,13,-36
T. YoungT. YoungPG,35,6-15,2-8,4-4,1,3,4,11,1,0,5,3,18,-30
K. HuerterK. HuerterSG,31,6-17,2-10,0-0,1,5,6,4,2,2,2,0,14,-30
D. GallinariD. GallinariPF,22,4-11,2-3,6-6,4,5,9,1,0,0,1,1,16,+12
O. OkongwuO. OkongwuPF,19,2-5,0-0,0-0,3,0,3,4,1,1,0,3,4,+11
K. Knox IIK. Knox IIF,4,1-1,0-0,0-0,0,1,1,1,0,0,0,0,2,+9
G. DiengG. DiengC,4,2-3,1-2,0-1,0,0,0,1,1,1,0,0,5,+9
B. BogdanovicB. BogdanovicSG,30,8-14,5-8,2-2,1,4,5,4,2,0,1,4,23,+17
D. WrightD. WrightSG,19,3-7,1-4,0-0,0,3,3,1,3,0,0,0,7,+16
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,4,2-4,1-1,0-0,1,1,2,0,0,0,0,0,5,+9
S. MaysS. MaysSG,4,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,+9
