DEN,BOS,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,21,1-6,1-5,4-4,1,3,4,0,2,0,1,1,7,+8
A. GordonA. GordonPF,34,8-15,0-5,1-2,1,5,6,2,3,0,2,3,17,-6
W. BartonW. BartonSF,33,5-10,2-5,1-2,0,6,6,3,0,0,2,2,13,0
N. JokicN. JokicC,34,9-20,3-10,2-4,5,11,16,11,0,2,9,2,23,+3
B. HylandB. HylandPG,18,4-7,1-4,1-1,0,2,2,0,0,0,0,3,10,+2
Ja. GreenJa. GreenPF,14,2-8,0-3,0-0,2,3,5,1,0,1,1,1,4,-7
Z. NnajiZ. NnajiPF,29,2-6,1-3,0-0,0,4,4,2,0,1,2,3,5,-11
F. CampazzoF. CampazzoPG,29,4-9,3-6,3-4,2,2,4,3,1,1,2,5,14,-9
A. RiversA. RiversSG,15,2-4,0-2,0-0,1,1,2,1,0,0,1,1,4,-6
B. ForbesB. ForbesSG,12,2-5,0-1,1-1,0,3,3,0,1,1,1,1,5,-3
D. ReedD. ReedSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,37,8-19,1-8,7-8,2,4,6,5,3,0,2,1,24,+10
A. HorfordA. HorfordC,30,3-8,1-4,2-2,4,7,11,3,0,3,0,0,9,+2
R. Williams IIIR. Williams IIIC,37,7-12,0-0,1-2,6,10,16,2,2,3,0,4,15,+3
M. SmartM. SmartPG,39,6-16,2-6,8-10,2,3,5,7,5,0,5,2,22,+6
J. BrownJ. BrownSG,39,4-17,0-6,4-7,0,7,7,4,2,0,2,2,12,-1
G. WilliamsG. WilliamsPF,19,3-6,2-3,0-0,1,0,1,0,0,2,1,4,8,-4
D. WhiteD. WhitePG,28,6-12,3-7,0-1,2,4,6,2,0,0,2,4,15,+11
P. PritchardP. PritchardPG,11,1-6,1-3,0-0,1,1,2,1,1,0,0,3,3,+3
